K 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 0.00601245 0.00643427 0.00689282 0.00739115 0.00793232 0.00851922 0.00915446 0.00984012 0.0105774 0.0113664 0.0122055 0.0130909 0.0140161 0.0149715 0.0159438 0.0169159 0.0178674 0.0187745 0.0196123 0.0203553 0.0209805 0.0214688 0.021807 0.0219893 0.0220173 0.0218998 0.0216513 0.0212903 0.0208375 0.0203142 0.0197406 0.0191351 0.0185134 0.0178888 0.0172715 0.0166697 0.0160891 0.0155338 0.0150064 0.0145082 0.0140398 0.013601 0.0131911 0.0128092 0.0124542 0.0121246 0.0118191 
0.0801603 0.00598629 0.00640901 0.00686892 0.00736917 0.00791293 0.00850323 0.00914284 0.00983399 0.0105781 0.0113753 0.0122242 0.0131211 0.0140596 0.0150298 0.0160183 0.0170077 0.0179767 0.0189011 0.0197546 0.0205111 0.0211465 0.0216409 0.0219807 0.0221599 0.0221804 0.0220516 0.0217886 0.021411 0.0209403 0.0203987 0.0198071 0.0191843 0.0185466 0.0179071 0.0172766 0.016663 0.016072 0.0155077 0.0149724 0.0144674 0.0139932 0.0135495 0.0131354 0.01275 0.0123919 0.0120597 0.0117521 
0.160321 0.00596009 0.00638367 0.00684489 0.00734701 0.00789332 0.00848698 0.00913091 0.00982752 0.0105784 0.0113839 0.0122426 0.0131512 0.014103 0.0150883 0.0160933 0.0171002 0.0180871 0.019029 0.0198988 0.0206691 0.0213149 0.0218155 0.0221569 0.0223329 0.0223457 0.0222051 0.0219273 0.0215326 0.0210437 0.0204835 0.0198736 0.0192333 0.0185793 0.017925 0.0172812 0.0166557 0.0160544 0.015481 0.014938 0.0144263 0.0139464 0.0134978 0.0130796 0.0126907 0.0123296 0.011995 0.0116852 
0.240481 0.00593385 0.00635824 0.00682074 0.00732468 0.00787348 0.00847046 0.00911867 0.0098207 0.0105783 0.011392 0.0122607 0.0131809 0.0141462 0.0151468 0.0161685 0.0171933 0.0181985 0.0191584 0.0200447 0.0208292 0.0214857 0.0219927 0.0223357 0.0225083 0.0225131 0.0223604 0.0220673 0.0216552 0.0211477 0.0205685 0.01994 0.019282 0.0186116 0.0179424 0.0172851 0.0166478 0.0160362 0.0154539 0.0149031 0.0143848 0.0138993 0.0134459 0.0130237 0.0126313 0.0122674 0.0119303 0.0116185 
0.320641 0.00590756 0.00633274 0.00679645 0.00730217 0.00785342 0.00845366 0.00910611 0.00981353 0.0105779 0.0113998 0.0122785 0.0132104 0.0141894 0.0152053 0.0162441 0.017287 0.018311 0.0192892 0.0201925 0.0209915 0.0216589 0.0221725 0.022517 0.0226862 0.0226826 0.0225175 0.0222088 0.0217788 0.0212522 0.0206537 0.0200063 0.0193304 0.0186434 0.0179592 0.0172885 0.0166394 0.0160174 0.0154262 0.0148677 0.014343 0.0138519 0.0133938 0.0129676 0.012572 0.0122052 0.0118658 0.011552 
0.400802 0.00588123 0.00630714 0.00677203 0.00727948 0.00783312 0.00843657 0.00909322 0.00980599 0.010577 0.0114073 0.0122959 0.0132396 0.0142323 0.0152639 0.0163199 0.0173813 0.0184244 0.0194213 0.0203421 0.0211559 0.0218346 0.0223548 0.022701 0.0228664 0.0228543 0.0226764 0.0223515 0.0219033 0.0213573 0.020739 0.0200724 0.0193784 0.0186747 0.0179753 0.0172912 0.0166303 0.015998 0.015398 0.014832 0.0143008 0.0138042 0.0133415 0.0129115 0.0125125 0.0121431 0.0118014 0.0114857 
0.480962 0.00585486 0.00628146 0.00674748 0.0072566 0.00781259 0.0084192 0.00907998 0.00979806 0.0105758 0.0114143 0.0123129 0.0132685 0.0142751 0.0153225 0.0163961 0.0174763 0.0185388 0.0195549 0.0204934 0.0213225 0.0220127 0.0225397 0.0228874 0.0230491 0.0230281 0.022837 0.0224956 0.0220287 0.0214628 0.0208245 0.0201384 0.0194261 0.0187055 0.0179909 0.0172933 0.0166206 0.0159781 0.0153692 0.0147957 0.0142581 0.0137562 0.013289 0.0128552 0.0124531 0.012081 0.0117371 0.0114196 
0.561122 0.00582843 0.00625568 0.00672279 0.00723353 0.00779181 0.00840153 0.0090664 0.00978975 0.0105741 0.0114208 0.0123295 0.0132971 0.0143177 0.015381 0.0164724 0.0175718 0.0186541 0.0196898 0.0206466 0.0214913 0.0221932 0.0227273 0.0230765 0.0232342 0.023204 0.0229993 0.022641 0.0221549 0.0215687 0.02091 0.0202042 0.0194733 0.0187357 0.0180058 0.0172947 0.0166102 0.0159575 0.0153399 0.014759 0.0142151 0.0137079 0.0132363 0.0127988 0.0123936 0.012019 0.011673 0.0113537 
0.641283 0.00580196 0.00622982 0.00669796 0.00721027 0.00777079 0.00838355 0.00905247 0.00978104 0.010572 0.011427 0.0123456 0.0133253 0.01436 0.0154395 0.0165489 0.0176678 0.0187703 0.0198261 0.0208015 0.0216622 0.0223762 0.0229174 0.0232682 0.0234218 0.0233821 0.0231634 0.0227877 0.0222819 0.021675 0.0209955 0.0202697 0.01952 0.0187653 0.0180201 0.0172954 0.0165991 0.0159363 0.01531 0.0147217 0.0141717 0.0136593 0.0131834 0.0127422 0.0123341 0.0119569 0.0116089 0.0112879 
0.721443 0.00577544 0.00620386 0.00667299 0.00718682 0.00774952 0.00836528 0.00903818 0.00977192 0.0105695 0.0114326 0.0123614 0.0133531 0.0144021 0.015498 0.0166257 0.0177643 0.0188875 0.0199637 0.0209582 0.0218353 0.0225617 0.0231102 0.0234626 0.0236118 0.0235623 0.0233292 0.0229356 0.0224097 0.0217817 0.0210811 0.0203349 0.0195663 0.0187943 0.0180337 0.0172954 0.0165874 0.0159144 0.0152796 0.014684 0.0141279 0.0136104 0.0131302 0.0126855 0.0122745 0.011895 0.0115449 0.0112223 
