K 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 1 1 1 1 1 1 1 1 0.999911 0.991738 0.971421 0.939039 0.894156 0.836279 0.765119 0.680767 0.583875 0.475833 0.358948 0.236683 0.114175 0.00871646 0.0607307 0.193529 0.316617 0.435905 0.547421 0.648482 0.737393 0.813253 0.875789 0.925174 0.96183 0.986253 0.998617 1 1 1 1 1 1 1 1 1 1 1 1 
0.0801603 0.995649 0.996074 0.996533 0.997026 0.997556 0.998124 0.998731 0.999377 0.999972 0.992513 0.97291 0.941207 0.896928 0.839536 0.768697 0.68446 0.587448 0.479039 0.361553 0.238494 0.115078 0.00878634 0.0612144 0.19503 0.318962 0.438925 0.550892 0.652158 0.741031 0.816637 0.878738 0.927554 0.963551 0.987266 0.998912 0.999597 0.998937 0.998316 0.997734 0.997191 0.996685 0.996214 0.995778 0.995373 0.994997 0.994649 0.994326 
0.160321 0.991291 0.992136 0.993047 0.994028 0.995083 0.996216 0.997428 0.998719 1 0.993258 0.974375 0.94336 0.899695 0.842799 0.772292 0.68818 0.591056 0.482282 0.364192 0.240331 0.115995 0.00885725 0.0617052 0.196553 0.321338 0.441981 0.554398 0.655863 0.744691 0.820031 0.881687 0.929923 0.965251 0.988252 0.999175 0.999161 0.997841 0.9966 0.995439 0.994357 0.99335 0.992415 0.991547 0.990743 0.989998 0.989308 0.988669 
0.240481 0.986926 0.988185 0.989543 0.991007 0.992583 0.994277 0.996091 0.998027 0.999994 0.993972 0.975814 0.945495 0.902455 0.846067 0.775903 0.691927 0.594697 0.485561 0.366863 0.242193 0.116924 0.00892919 0.0622031 0.198097 0.323745 0.445072 0.557939 0.659599 0.74837 0.823433 0.884632 0.932277 0.966929 0.989208 0.999404 0.99869 0.99671 0.994851 0.993115 0.991498 0.989994 0.9886 0.987308 0.986111 0.985003 0.983978 0.983028 
0.320641 0.982555 0.98422 0.986019 0.987961 0.990054 0.992304 0.994718 0.997298 0.999951 0.994653 0.977227 0.947612 0.905206 0.849338 0.779529 0.695699 0.598371 0.488876 0.369568 0.244079 0.117867 0.00900218 0.0627081 0.199662 0.326183 0.448199 0.561515 0.663362 0.752069 0.826844 0.887574 0.934617 0.968582 0.990134 0.999598 0.998182 0.995543 0.99307 0.990761 0.988613 0.986619 0.984771 0.983059 0.981476 0.980011 0.978657 0.977403 
0.400802 0.978175 0.980242 0.982477 0.984891 0.987495 0.990299 0.99331 0.996531 0.999872 0.995299 0.97861 0.949707 0.907947 0.852611 0.78317 0.699496 0.602077 0.492226 0.372305 0.245991 0.118823 0.00907621 0.0632203 0.201248 0.328652 0.451361 0.565125 0.667154 0.755786 0.83026 0.890508 0.936939 0.970208 0.991026 0.999756 0.997637 0.99434 0.991253 0.988376 0.985702 0.983222 0.980926 0.978802 0.976838 0.975023 0.973345 0.971793 
0.480962 0.973788 0.976251 0.978915 0.981795 0.984906 0.988259 0.991864 0.995726 0.999754 0.99591 0.979963 0.951781 0.910676 0.855883 0.786822 0.703317 0.605815 0.495611 0.375075 0.247928 0.119792 0.00915129 0.0637397 0.202856 0.331152 0.454558 0.568768 0.670972 0.759519 0.833681 0.893436 0.939242 0.971807 0.991885 0.999877 0.997053 0.993099 0.989402 0.98596 0.982764 0.979804 0.977065 0.974535 0.972197 0.970037 0.968043 0.966199 
0.561122 0.969393 0.972245 0.975333 0.978674 0.982287 0.986185 0.990381 0.994881 0.999597 0.996483 0.981284 0.95383 0.913392 0.859154 0.790486 0.70716 0.609583 0.49903 0.377878 0.249891 0.120774 0.00922742 0.0642663 0.204485 0.333682 0.45779 0.572444 0.674816 0.763267 0.837104 0.896353 0.941525 0.973376 0.992708 0.999959 0.99643 0.99182 0.987515 0.983512 0.9798 0.976364 0.973189 0.970258 0.967552 0.965055 0.962749 0.96062 
0.641283 0.964991 0.968225 0.97173 0.975528 0.979637 0.984076 0.988859 0.993996 0.999399 0.997018 0.982572 0.955853 0.916092 0.862422 0.794159 0.711024 0.613382 0.502484 0.380714 0.251878 0.12177 0.00930462 0.0648001 0.206136 0.336243 0.461056 0.576152 0.678685 0.767029 0.840529 0.899259 0.943785 0.974915 0.993494 1 0.995766 0.990501 0.985592 0.981032 0.976808 0.972902 0.969297 0.965971 0.962903 0.960074 0.957465 0.955056 
0.721443 0.96058 0.964191 0.968108 0.972355 0.976955 0.98193 0.987298 0.993069 0.999159 0.997513 0.983824 0.957849 0.918775 0.865685 0.79784 0.714908 0.617211 0.505972 0.383582 0.253891 0.12278 0.00938288 0.0653413 0.207808 0.338834 0.464356 0.579892 0.682578 0.770804 0.843954 0.902153 0.946021 0.97642 0.994241 1 0.995061 0.989143 0.983632 0.978519 0.973788 0.969419 0.965389 0.961674 0.958251 0.955097 0.952189 0.949507 
0.801603 0.956161 0.960142 0.964464 0.969156 0.974242 0.979749 0.985696 0.9921 0.998876 0.997967 0.985039 0.959817 0.92144 0.868942 0.801528 0.718812 0.621068 0.509494 0.386483 0.255929 0.123803 0.00946222 0.0658898 0.209502 0.341456 0.46769 0.583663 0.686494 0.774591 0.847377 0.905032 0.948232 0.977892 0.994949 0.999958 0.994313 0.987744 0.981634 0.975973 0.97074 0.965913 0.961464 0.957367 0.953595 0.950122 0.946922 0.943973 
0.881764 0.951734 0.956079 0.960801 0.96593 0.971497 0.97753 0.984055 0.991088 0.998548 0.998378 0.986217 0.961753 0.924084 0.872191 0.805222 0.722734 0.624953 0.513049 0.389416 0.257992 0.124839 0.00954264 0.0664457 0.211217 0.344109 0.471058 0.587465 0.690432 0.778388 0.850797 0.907895 0.950416 0.979328 0.995615 0.999871 0.993522 0.986303 0.979599 0.973393 0.967664 0.962384 0.957523 0.953051 0.948936 0.94515 0.941664 0.938453 
0.961924 0.947298 0.952001 0.957116 0.962678 0.96872 0.975275 0.982372 0.990032 0.998176 0.998746 0.987355 0.963657 0.926706 0.875431 0.80892 0.726673 0.628865 0.516636 0.392382 0.260081 0.125889 0.00962414 0.067009 0.212955 0.346792 0.47446 0.591296 0.694392 0.782193 0.854212 0.910741 0.952571 0.980726 0.996239 0.999741 0.992686 0.984821 0.977525 0.97078 0.96456 0.958833 0.953566 0.948724 0.944273 0.94018 0.936414 0.932948 
1.04208 0.942855 0.947909 0.953411 0.959399 0.96591 0.972982 0.980647 0.988931 0.997758 0.999068 0.988452 0.965528 0.929305 0.878659 0.812621 0.730628 0.632805 0.520256 0.395379 0.262196 0.126953 0.00970674 0.0675798 0.214714 0.349506 0.477894 0.595157 0.698371 0.786006 0.857622 0.913567 0.954695 0.982086 0.996819 0.999564 0.991805 0.983296 0.975412 0.968133 0.961427 0.95526 0.949593 0.944387 0.939605 0.935212 0.931173 0.927457 
1.12224 0.938403 0.943803 0.949685 0.956093 0.963068 0.970651 0.978881 0.987785 0.997293 0.999345 0.989507 0.967364 0.931879 0.881875 0.816324 0.734598 0.63677 0.523909 0.398409 0.264336 0.12803 0.00979044 0.068158 0.216495 0.352251 0.481361 0.599047 0.702369 0.789826 0.861023 0.916372 0.956788 0.983406 0.997355 0.999341 0.990879 0.981727 0.97326 0.965452 0.958266 0.951664 0.945603 0.94004 0.934935 0.930247 0.925941 0.921981 
1.2024 0.933944 0.939682 0.945939 0.95276 0.960193 0.968283 0.977072 0.986594 0.996781 0.999574 0.990519 0.969162 0.934426 0.885077 0.820026 0.738582 0.64076 0.527593 0.401471 0.266501 0.129122 0.00987524 0.0687438 0.218298 0.355026 0.484861 0.602964 0.706386 0.79365 0.864415 0.919154 0.958847 0.984685 0.997844 0.99907 0.989905 0.980115 0.971069 0.962736 0.955076 0.948045 0.941597 0.935683 0.93026 0.925285 0.920717 0.916519 
1.28257 0.929476 0.935547 0.942172 0.949401 0.957285 0.965876 0.97522 0.985355 0.99622 0.999755 0.991486 0.970923 0.936944 0.888264 0.823727 0.742579 0.644774 0.531308 0.404565 0.268693 0.130227 0.00996116 0.0693373 0.220123 0.357831 0.488394 0.606909 0.71042 0.797479 0.867797 0.921913 0.960871 0.985921 0.998286 0.998751 0.988885 0.97846 0.968838 0.959986 0.951858 0.944404 0.937574 0.931317 0.925583 0.920325 0.915501 0.911072 
1.36273 0.925001 0.931398 0.938385 0.946015 0.954345 0.963431 0.973325 0.98407 0.995609 0.999887 0.992406 0.972644 0.939433 0.891433 0.827425 0.746587 0.648812 0.535054 0.40769 0.27091 0.131347 0.0100482 0.0699383 0.22197 0.360667 0.491958 0.610881 0.71447 0.801309 0.871166 0.924646 0.962858 0.987113 0.99868 0.998382 0.987817 0.976759 0.966567 0.957201 0.94861 0.940741 0.933536 0.926941 0.920901 0.915368 0.910295 0.905639 
1.44289 0.920519 0.927235 0.934577 0.942602 0.951372 0.960947 0.971386 0.982738 0.994949 0.999969 0.993279 0.974324 0.941891 0.894583 0.831118 0.750605 0.652873 0.538831 0.410848 0.273152 0.13248 0.0101364 0.0705471 0.223839 0.363534 0.495554 0.614879 0.718535 0.805141 0.874522 0.927352 0.964808 0.988259 0.999024 0.997963 0.986701 0.975014 0.964256 0.954382 0.945335 0.937055 0.929482 0.922555 0.916217 0.910414 0.905097 0.90022 
