K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
0 0.0169159 0.0173957 0.0178674 0.018328 0.0187745 0.0192037 0.0196123 0.0199972 0.0203553 0.020684 0.0209805 0.0212427 0.0214688 0.0216572 0.021807 0.0219177 0.0219893 0.0220222 0.0220173 0.021976 
0.0801603 0.0170077 0.0174962 0.0179767 0.0184461 0.0189011 0.0193383 0.0197546 0.0201466 0.0205111 0.0208453 0.0211465 0.0214123 0.0216409 0.0218307 0.0219807 0.0220904 0.0221599 0.0221896 0.0221804 0.0221338 
0.160321 0.0171002 0.0175976 0.0180871 0.0185654 0.019029 0.0194746 0.0198988 0.020298 0.0206691 0.021009 0.0213149 0.0215844 0.0218155 0.0220067 0.0221569 0.0222656 0.0223329 0.0223593 0.0223457 0.0222937 
0.240481 0.0171933 0.0176999 0.0181985 0.0186859 0.0191584 0.0196125 0.0200447 0.0204514 0.0208292 0.0211749 0.0214857 0.021759 0.0219927 0.0221853 0.0223357 0.0224434 0.0225083 0.0225312 0.0225131 0.0224555 
0.320641 0.017287 0.0178029 0.018311 0.0188076 0.0192892 0.019752 0.0201925 0.0206068 0.0209915 0.0213432 0.0216589 0.0219361 0.0221725 0.0223665 0.022517 0.0226236 0.0226862 0.0227055 0.0226826 0.0226193 
0.400802 0.0173813 0.0179068 0.0184244 0.0189305 0.0194213 0.0198932 0.0203421 0.0207642 0.0211559 0.0215137 0.0218346 0.0221157 0.0223548 0.0225503 0.022701 0.0228063 0.0228664 0.022882 0.0228543 0.022785 
0.480962 0.0174763 0.0180114 0.0185388 0.0190545 0.0195549 0.0200359 0.0204934 0.0209236 0.0213225 0.0216866 0.0220127 0.0222978 0.0225397 0.0227367 0.0228874 0.0229916 0.0230491 0.0230608 0.0230281 0.0229527 
0.561122 0.0175718 0.0181168 0.0186541 0.0191798 0.0196898 0.0201802 0.0206466 0.0210849 0.0214913 0.0218618 0.0221932 0.0224825 0.0227273 0.0229257 0.0230765 0.0231793 0.0232342 0.023242 0.023204 0.0231223 
0.641283 0.0176678 0.0182229 0.0187703 0.0193061 0.0198261 0.020326 0.0208015 0.0212483 0.0216622 0.0220393 0.0223762 0.0226697 0.0229174 0.0231173 0.0232682 0.0233697 0.0234218 0.0234254 0.0233821 0.0232939 
0.721443 0.0177643 0.0183297 0.0188875 0.0194336 0.0199637 0.0204734 0.0209582 0.0214136 0.0218353 0.0222192 0.0225617 0.0228595 0.0231102 0.0233116 0.0234626 0.0235625 0.0236118 0.0236112 0.0235623 0.0234674 
0.801603 0.0178613 0.0184372 0.0190055 0.0195622 0.0201027 0.0206224 0.0211167 0.0215809 0.0220106 0.0224014 0.0227496 0.0230519 0.0233056 0.0235085 0.0236595 0.023758 0.0238042 0.0237992 0.0237447 0.0236429 
0.881764 0.0179588 0.0185453 0.0191244 0.0196918 0.0202429 0.0207729 0.021277 0.0217502 0.022188 0.022586 0.0229401 0.0232469 0.0235037 0.0237082 0.0238591 0.023956 0.0239992 0.0239896 0.0239291 0.0238203 
0.961924 0.0180566 0.018654 0.0192441 0.0198226 0.0203845 0.020925 0.021439 0.0219215 0.0223677 0.0227729 0.0231331 0.0234445 0.0237044 0.0239105 0.0240614 0.0241566 0.0241965 0.0241823 0.0241157 0.0239995 
