K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
0 0.680767 0.63382 0.583875 0.531128 0.475833 0.41831 0.358948 0.298217 0.236683 0.175047 0.114175 0.0427906 0.00871646 0.0147485 0.0607307 0.132313 0.193529 0.255236 0.316617 0.37702 
0.0801603 0.68446 0.637484 0.587448 0.534548 0.479039 0.421243 0.361553 0.300445 0.238494 0.176413 0.115078 0.0431322 0.00878634 0.0148667 0.0612144 0.133356 0.19503 0.257175 0.318962 0.379728 
0.160321 0.68818 0.641179 0.591056 0.538005 0.482282 0.424212 0.364192 0.302703 0.240331 0.177798 0.115995 0.0434788 0.00885725 0.0149866 0.0617052 0.134414 0.196553 0.259142 0.321338 0.38247 
0.240481 0.691927 0.644905 0.594697 0.541497 0.485561 0.427216 0.366863 0.304991 0.242193 0.179202 0.116924 0.0438305 0.00892919 0.0151082 0.0622031 0.135487 0.198097 0.261135 0.323745 0.385246 
0.320641 0.695699 0.64866 0.598371 0.545024 0.488876 0.430255 0.369568 0.307309 0.244079 0.180626 0.117867 0.0441872 0.00900218 0.0152316 0.0627081 0.136574 0.199662 0.263154 0.326183 0.388056 
0.400802 0.699496 0.652445 0.602077 0.548586 0.492226 0.433329 0.372305 0.309656 0.245991 0.18207 0.118823 0.044549 0.00907621 0.0153567 0.0632203 0.137678 0.201248 0.265201 0.328652 0.390899 
0.480962 0.703317 0.656257 0.605815 0.552181 0.495611 0.436437 0.375075 0.312032 0.247928 0.183533 0.119792 0.0449159 0.00915129 0.0154837 0.0637397 0.138796 0.202856 0.267273 0.331152 0.393776 
0.561122 0.70716 0.660096 0.609583 0.55581 0.49903 0.43958 0.377878 0.314439 0.249891 0.185015 0.120774 0.0452879 0.00922742 0.0156124 0.0642663 0.139929 0.204485 0.269373 0.333682 0.396686 
0.641283 0.711024 0.663962 0.613382 0.559472 0.502484 0.442758 0.380714 0.316875 0.251878 0.186518 0.12177 0.0456651 0.00930462 0.0157429 0.0648001 0.141078 0.206136 0.271499 0.336243 0.39963 
0.721443 0.714908 0.667853 0.617211 0.563166 0.505972 0.445969 0.383582 0.31934 0.253891 0.18804 0.12278 0.0460474 0.00938288 0.0158752 0.0653413 0.142243 0.207808 0.273651 0.338834 0.402607 
0.801603 0.718812 0.671768 0.621068 0.566892 0.509494 0.449214 0.386483 0.321836 0.255929 0.189582 0.123803 0.046435 0.00946222 0.0160093 0.0658898 0.143423 0.209502 0.275831 0.341456 0.405617 
0.881764 0.722734 0.675707 0.624953 0.570649 0.513049 0.452493 0.389416 0.32436 0.257992 0.191144 0.124839 0.0468278 0.00954264 0.0161452 0.0664457 0.144618 0.211217 0.278037 0.344109 0.40866 
0.961924 0.726673 0.679669 0.628865 0.574438 0.516636 0.455805 0.392382 0.326915 0.260081 0.192726 0.125889 0.0472258 0.00962414 0.016283 0.067009 0.145829 0.212955 0.280271 0.346792 0.411736 
1.04208 0.730628 0.683653 0.632805 0.578256 0.520256 0.45915 0.395379 0.329499 0.262196 0.194328 0.126953 0.0476291 0.00970674 0.0164226 0.0675798 0.147056 0.214714 0.282531 0.349506 0.414844 
1.12224 0.734598 0.687657 0.63677 0.582104 0.523909 0.462528 0.398409 0.332113 0.264336 0.19595 0.12803 0.0480378 0.00979044 0.0165641 0.068158 0.148299 0.216495 0.284818 0.352251 0.417985 
1.2024 0.738582 0.691681 0.64076 0.585981 0.527593 0.465939 0.401471 0.334756 0.266501 0.197593 0.129122 0.0484518 0.00987524 0.0167075 0.0687438 0.149557 0.218298 0.287132 0.355026 0.421158 
1.28257 0.742579 0.695725 0.644774 0.589887 0.531308 0.469383 0.404565 0.337429 0.268693 0.199256 0.130227 0.0488713 0.00996116 0.0168527 0.0693373 0.150831 0.220123 0.289473 0.357831 0.424364 
1.36273 0.746587 0.699786 0.648812 0.593821 0.535054 0.472859 0.40769 0.340131 0.27091 0.200939 0.131347 0.0492961 0.0100482 0.0169998 0.0699383 0.152122 0.22197 0.291841 0.360667 0.427602 
1.44289 0.750605 0.703864 0.652873 0.597782 0.538831 0.476366 0.410848 0.342864 0.273152 0.202643 0.13248 0.0497264 0.0101364 0.0171488 0.0705471 0.153428 0.223839 0.294236 0.363534 0.430872 
1.52305 0.754633 0.707958 0.656956 0.60177 0.542638 0.479906 0.414037 0.345625 0.275421 0.204367 0.133628 0.0501622 0.0102257 0.0172998 0.0711635 0.154751 0.225731 0.296658 0.366431 0.434173 
1.60321 0.758668 0.712068 0.661059 0.605784 0.546474 0.483477 0.417257 0.348417 0.277716 0.206112 0.13479 0.0506036 0.0103161 0.0174527 0.0717878 0.15609 0.227645 0.299108 0.369358 0.437507 
1.68337 0.762711 0.716191 0.665184 0.609824 0.55034 0.487079 0.420509 0.351238 0.280036 0.207878 0.135966 0.0510505 0.0104077 0.0176075 0.0724199 0.157445 0.229582 0.301585 0.372315 0.440872 
