K 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 0.00601437 0.00643568 0.00689406 0.00739268 0.00793471 0.00852325 0.00916108 0.0098505 0.010593 0.0113888 0.0122365 0.0131325 0.0140705 0.0150408 0.0160298 0.0170202 0.0179905 0.0189165 0.0197717 0.0205299 0.0211665 0.0216616 0.0220016 0.0221804 0.0222 0.0220699 0.0218055 0.0214267 0.0209552 0.0204132 0.0198219 0.0192 0.0185638 0.0179267 0.017299 0.0166888 0.0161017 0.0155416 0.0150108 0.0145106 0.0140413 0.0136026 0.0131936 0.0128133 0.0124604 0.0121333 0.0118308 
0.0801603 0.00598555 0.00640762 0.00686722 0.0073676 0.00791207 0.00850385 0.00914588 0.00984062 0.0105897 0.0113936 0.0122511 0.0131586 0.0141098 0.015095 0.0161004 0.0171082 0.0180965 0.01904 0.0199114 0.0206833 0.0213302 0.0218316 0.022173 0.0223485 0.0223602 0.0222182 0.0219389 0.0215429 0.0210531 0.0204924 0.0198826 0.0192433 0.0185908 0.0179389 0.0172979 0.0166758 0.0160784 0.0155093 0.0149707 0.0144638 0.0139888 0.0135452 0.0131321 0.0127483 0.0123924 0.0120628 0.0117581 
0.160321 0.00595675 0.00637956 0.00684032 0.00734242 0.00788928 0.00848425 0.00913043 0.00983047 0.0105862 0.0113982 0.0122654 0.0131845 0.0141491 0.0151494 0.0161715 0.017197 0.0182035 0.0191649 0.0200529 0.0208389 0.0214965 0.0220042 0.0223471 0.0225191 0.0225227 0.0223685 0.0220738 0.0216602 0.0211516 0.0205719 0.0199435 0.0192864 0.0186175 0.0179506 0.0172963 0.0166624 0.0160546 0.0154766 0.0149303 0.0144169 0.0139362 0.0134878 0.0130707 0.0126835 0.0123246 0.0119926 0.0116858 
0.240481 0.00592798 0.00635147 0.00681337 0.00731714 0.00786633 0.00846444 0.00911474 0.00982003 0.0105823 0.0114025 0.0122795 0.0132102 0.0141883 0.0152039 0.0162429 0.0172865 0.0183117 0.0192914 0.0201963 0.0209968 0.0216653 0.0221794 0.0225239 0.0226922 0.0226874 0.0225206 0.0222101 0.0217785 0.0212508 0.0206516 0.0200043 0.0193293 0.0186438 0.0179619 0.0172941 0.0166485 0.0160304 0.0154435 0.0148896 0.0143696 0.0138835 0.0134304 0.0130093 0.0126187 0.0122571 0.0119227 0.0116139 
0.320641 0.00589923 0.00632337 0.00678635 0.00729174 0.00784322 0.00844443 0.0090988 0.00980931 0.0105782 0.0114064 0.0122933 0.0132356 0.0142274 0.0152585 0.0163147 0.0173767 0.0184209 0.0194193 0.0203416 0.0211569 0.0218366 0.0223573 0.0227033 0.0228679 0.0228543 0.0226745 0.0223478 0.0218979 0.0213506 0.0207316 0.0200651 0.0193719 0.0186698 0.0179727 0.0172915 0.0166341 0.0160058 0.01541 0.0148486 0.0143222 0.0138306 0.0133729 0.0129479 0.0125541 0.0121897 0.011853 0.0115423 
0.400802 0.0058705 0.00629524 0.00675926 0.00726623 0.00781994 0.0084242 0.00908258 0.00979827 0.0105737 0.01141 0.0123067 0.0132609 0.0142664 0.0153132 0.0163868 0.0174676 0.0185311 0.0195487 0.0204887 0.0213192 0.0220104 0.0225379 0.0228853 0.023046 0.0230234 0.0228303 0.022487 0.0220182 0.0214509 0.0208118 0.0201258 0.0194143 0.0186952 0.017983 0.0172884 0.0166191 0.0159806 0.0153761 0.0148072 0.0142745 0.0137775 0.0133153 0.0128865 0.0124895 0.0121225 0.0117836 0.011471 
0.480962 0.00584179 0.00626709 0.0067321 0.00724059 0.00779649 0.00840373 0.00906609 0.00978691 0.0105688 0.0114133 0.0123199 0.0132858 0.0143052 0.0153679 0.0164592 0.017559 0.0186424 0.0196795 0.0206377 0.0214838 0.0221867 0.0227212 0.0230701 0.0232266 0.0231948 0.022988 0.0226275 0.0221394 0.0215517 0.0208922 0.0201864 0.0194563 0.0187203 0.0179928 0.0172846 0.0166037 0.015955 0.0153418 0.0147655 0.0142265 0.0137242 0.0132576 0.0128252 0.012425 0.0120554 0.0117144 0.0114 
0.561122 0.00581308 0.00623891 0.00670486 0.00721483 0.00777286 0.00838304 0.00904931 0.00977523 0.0105636 0.0114161 0.0123326 0.0133105 0.0143439 0.0154226 0.0165318 0.0176511 0.0187546 0.0198117 0.0207886 0.0216506 0.0223656 0.0229071 0.0232575 0.0234098 0.0233683 0.0231474 0.0227694 0.0222615 0.021653 0.0209727 0.0202468 0.0194979 0.0187448 0.018002 0.0172803 0.0165876 0.0159288 0.015307 0.0147234 0.0141782 0.0136708 0.0131999 0.0127638 0.0123607 0.0119886 0.0116455 0.0113294 
0.641283 0.00578439 0.0062107 0.00667755 0.00718894 0.00774905 0.00836211 0.00903224 0.0097632 0.010558 0.0114186 0.0123451 0.0133349 0.0143823 0.0154773 0.0166047 0.0177437 0.0188678 0.0199453 0.0209413 0.0218197 0.022547 0.0230958 0.0234476 0.0235955 0.0235441 0.0233086 0.0229126 0.0223845 0.0217548 0.0210533 0.020307 0.0195392 0.0187688 0.0180106 0.0172754 0.016571 0.0159022 0.0152718 0.0146809 0.0141297 0.0136172 0.013142 0.0127024 0.0122964 0.0119219 0.0115768 0.011259 
0.721443 0.00575571 0.00618246 0.00665015 0.00716292 0.00772504 0.00834093 0.00901487 0.00975082 0.0105521 0.0114207 0.0123571 0.0133589 0.0144206 0.015532 0.0166778 0.0178369 0.0189819 0.0200804 0.0210958 0.021991 0.022731 0.0232872 0.0236405 0.0237837 0.0237221 0.0234716 0.0230571 0.0225083 0.0218569 0.0211339 0.020367 0.01958 0.0187922 0.0180185 0.0172699 0.0165538 0.0158749 0.0152361 0.0146381 0.0140809 0.0135634 0.0130841 0.012641 0.0122322 0.0118553 0.0115083 0.011189 
