K 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 1 1 1 1 1 1 1 1 1 0.996859 0.979922 0.949679 0.906136 0.848969 0.777954 0.693212 0.595421 0.485994 0.36729 0.242852 0.117986 0.00919051 0.0708131 0.198878 0.324234 0.445472 0.55853 0.660665 0.750142 0.826048 0.888067 0.936333 0.971153 0.992695 1 1 1 1 1 1 1 1 1 1 1 1 1 
0.0801603 0.995208 0.995641 0.996107 0.996608 0.997146 0.997723 0.99834 0.998997 0.999693 0.997284 0.98109 0.951563 0.908666 0.852029 0.781381 0.696799 0.598928 0.489166 0.369884 0.244667 0.118899 0.00926262 0.0713649 0.200385 0.326574 0.448466 0.561947 0.664249 0.753646 0.829251 0.89079 0.938444 0.972566 0.993368 0.999932 0.999223 0.998552 0.99792 0.997329 0.996777 0.996263 0.995785 0.995341 0.994929 0.994546 0.99419 0.99386 
0.160321 0.99042 0.991279 0.992205 0.993202 0.994274 0.995424 0.996655 0.997967 0.999359 0.997684 0.982238 0.953434 0.911194 0.855098 0.784828 0.700416 0.602471 0.492377 0.372513 0.246508 0.119826 0.00933586 0.0719253 0.201915 0.328946 0.451499 0.565401 0.667866 0.757174 0.832468 0.893515 0.940546 0.973961 0.994018 0.999838 0.998418 0.997077 0.995817 0.994638 0.993539 0.992517 0.991567 0.990685 0.989867 0.989108 0.988403 0.98775 
0.240481 0.985636 0.986916 0.988295 0.989782 0.991382 0.993101 0.994942 0.996908 0.998996 0.998057 0.983365 0.955292 0.913718 0.858175 0.788294 0.704062 0.60605 0.495625 0.375177 0.248376 0.120767 0.00941021 0.0724941 0.203467 0.331352 0.454569 0.568893 0.671514 0.760724 0.835696 0.89624 0.942638 0.975338 0.994643 0.999717 0.997584 0.995574 0.993688 0.991926 0.990285 0.98876 0.987344 0.98603 0.984813 0.983685 0.982639 0.981669 
0.320641 0.980856 0.982549 0.984376 0.986347 0.988469 0.990752 0.993201 0.995819 0.998604 0.998403 0.984469 0.957135 0.916236 0.861257 0.791777 0.707735 0.609664 0.498912 0.377876 0.250269 0.121721 0.0094857 0.0730715 0.205042 0.333789 0.457677 0.572421 0.675193 0.764296 0.838933 0.898963 0.944717 0.976694 0.995242 0.999565 0.996721 0.994043 0.991534 0.989193 0.987014 0.984991 0.983116 0.981377 0.979768 0.978277 0.976896 0.975616 
0.400802 0.976079 0.978179 0.980447 0.982895 0.985536 0.988378 0.991431 0.994698 0.998179 0.998719 0.985547 0.95896 0.918746 0.864343 0.795277 0.711435 0.613313 0.502236 0.380609 0.25219 0.12269 0.00956231 0.0736575 0.206639 0.33626 0.460822 0.575985 0.678902 0.767887 0.842179 0.901683 0.946782 0.978027 0.995813 0.999383 0.995826 0.992481 0.989353 0.986436 0.983726 0.981211 0.978882 0.976726 0.97473 0.972883 0.971174 0.96959 
0.480962 0.971304 0.973804 0.976507 0.979427 0.98258 0.985978 0.989631 0.993545 0.997722 0.999004 0.986599 0.960765 0.921247 0.867431 0.79879 0.71516 0.616994 0.505596 0.383377 0.254137 0.123673 0.00964007 0.0742521 0.208259 0.338762 0.464003 0.579584 0.68264 0.771497 0.845431 0.904397 0.948831 0.979336 0.996354 0.999168 0.994898 0.990889 0.987143 0.983656 0.980419 0.977419 0.974642 0.972074 0.9697 0.967504 0.965472 0.963592 
0.561122 0.966532 0.969425 0.972556 0.975943 0.979602 0.98355 0.987799 0.992359 0.99723 0.999256 0.987623 0.96255 0.923737 0.87052 0.802316 0.71891 0.620709 0.508994 0.38618 0.25611 0.12467 0.00971896 0.0748554 0.209901 0.341297 0.467221 0.583218 0.686405 0.775123 0.848688 0.907104 0.950862 0.980619 0.996863 0.998919 0.993937 0.989265 0.984906 0.980852 0.977093 0.973614 0.970396 0.967423 0.964676 0.962138 0.959791 0.95762 
0.641283 0.961761 0.965042 0.968595 0.972441 0.976601 0.981094 0.985936 0.991138 0.996703 0.999474 0.988617 0.964311 0.926214 0.873607 0.805854 0.722682 0.624455 0.512427 0.389017 0.25811 0.125682 0.009799 0.0754673 0.211566 0.343864 0.470475 0.586886 0.690197 0.778766 0.851948 0.909801 0.952873 0.981874 0.997339 0.998635 0.992941 0.987608 0.982639 0.978024 0.973749 0.969795 0.966143 0.962772 0.959659 0.956785 0.95413 0.951675 
0.721443 0.956992 0.960653 0.964621 0.968921 0.973576 0.978609 0.98404 0.989882 0.99614 0.999656 0.989578 0.966048 0.928676 0.876692 0.809401 0.726477 0.628233 0.515896 0.391888 0.260137 0.126707 0.0098802 0.0760879 0.213254 0.346464 0.473765 0.590587 0.694014 0.782423 0.85521 0.912488 0.954863 0.9831 0.997781 0.998315 0.991908 0.985918 0.980342 0.97517 0.970384 0.965963 0.961883 0.95812 0.954648 0.951445 0.948487 0.945755 
0.801603 0.952225 0.956259 0.960636 0.965382 0.970527 0.976095 0.98211 0.988589 0.995538 0.999801 0.990507 0.967759 0.931121 0.879772 0.812957 0.730292 0.632041 0.5194 0.394793 0.26219 0.127747 0.00996255 0.0767173 0.214965 0.349095 0.477091 0.594321 0.697856 0.786093 0.858472 0.915163 0.95683 0.984294 0.998187 0.997956 0.990839 0.984192 0.978014 0.97229 0.967 0.962118 0.957616 0.953467 0.949643 0.946117 0.942865 0.939861 
0.881764 0.947458 0.95186 0.956638 0.961826 0.967453 0.973551 0.980146 0.987258 0.994897 0.999907 0.991401 0.969441 0.933548 0.882845 0.81652 0.734127 0.635879 0.522939 0.397732 0.26427 0.128801 0.0100461 0.0773555 0.216698 0.351759 0.480452 0.598087 0.701721 0.789774 0.861732 0.917823 0.958772 0.985456 0.998555 0.997559 0.989731 0.982432 0.975655 0.969384 0.963595 0.958258 0.953341 0.948813 0.944644 0.940802 0.93726 0.933992 
0.961924 0.942692 0.947454 0.952628 0.95825 0.964355 0.970977 0.978147 0.985889 0.994216 0.999974 0.992258 0.971094 0.935955 0.885911 0.820089 0.73798 0.639745 0.526512 0.400704 0.266377 0.129869 0.0101308 0.0780026 0.218454 0.354454 0.483847 0.601884 0.705609 0.793465 0.864989 0.920467 0.960687 0.986584 0.998885 0.997122 0.988585 0.980635 0.973264 0.966452 0.960169 0.954383 0.949058 0.944159 0.93965 0.935499 0.931675 0.928148 
1.04208 0.937928 0.943043 0.948606 0.954655 0.961231 0.968372 0.976112 0.984481 0.993494 1 0.993078 0.972715 0.93834 0.888967 0.823661 0.74185 0.643639 0.530119 0.403711 0.26851 0.130952 0.0102166 0.0786585 0.220233 0.357182 0.487278 0.605712 0.709518 0.797166 0.868241 0.923093 0.962574 0.987675 0.999174 0.996643 0.987399 0.978801 0.970841 0.963492 0.956722 0.950494 0.944767 0.939502 0.934662 0.930208 0.926107 0.922328 
1.12224 0.933163 0.938625 0.94457 0.951041 0.958082 0.965735 0.974042 0.983033 0.99273 0.999984 0.993858 0.974303 0.940701 0.892011 0.827236 0.745736 0.64756 0.53376 0.406751 0.27067 0.13205 0.0103037 0.0793233 0.222034 0.359941 0.490742 0.60957 0.713448 0.800873 0.871486 0.9257 0.964431 0.98873 0.999423 0.996122 0.986172 0.976931 0.968385 0.960505 0.953254 0.94659 0.940468 0.934845 0.929678 0.924929 0.920558 0.916533 
1.2024 0.928399 0.934202 0.940522 0.947408 0.954907 0.963068 0.971934 0.981544 0.991923 0.999924 0.994598 0.975857 0.943038 0.895043 0.830811 0.749637 0.651507 0.537434 0.409824 0.272856 0.133162 0.0103919 0.0799971 0.223859 0.362732 0.494241 0.613458 0.717396 0.804587 0.874723 0.928286 0.966257 0.989745 0.999628 0.995558 0.984903 0.975022 0.965896 0.957491 0.949765 0.942671 0.936161 0.930186 0.9247 0.919661 0.915027 0.910761 
1.28257 0.923636 0.929772 0.936461 0.943754 0.951706 0.960368 0.96979 0.980015 0.991072 0.99982 0.995296 0.977375 0.945347 0.89806 0.834386 0.753552 0.65548 0.54114 0.41293 0.27507 0.134289 0.0104813 0.0806799 0.225707 0.365555 0.497773 0.617373 0.721363 0.808304 0.877951 0.930849 0.968049 0.990721 0.99979 0.99495 0.983592 0.973075 0.963373 0.954448 0.946254 0.938737 0.931845 0.925525 0.919727 0.914404 0.909513 0.905014 
1.36273 0.918873 0.925336 0.932387 0.940082 0.948479 0.957636 0.967608 0.978443 0.990176 0.99967 0.99595 0.978855 0.947628 0.901061 0.837959 0.757479 0.659478 0.544878 0.41607 0.27731 0.13543 0.010572 0.0813718 0.227578 0.36841 0.501339 0.621317 0.725347 0.812026 0.881166 0.933387 0.969807 0.991654 0.999906 0.994296 0.982239 0.971088 0.960816 0.951378 0.942721 0.934788 0.927521 0.920862 0.914759 0.909159 0.904017 0.89929 
1.44289 0.914111 0.920894 0.928299 0.936389 0.945225 0.954872 0.965388 0.976829 0.989234 0.999473 0.99656 0.980295 0.949879 0.904044 0.841529 0.761417 0.663498 0.548648 0.419242 0.279577 0.136587 0.0106638 0.0820728 0.229473 0.371296 0.504937 0.625288 0.729346 0.815748 0.884369 0.9359 0.971528 0.992545 0.999977 0.993597 0.980842 0.969063 0.958225 0.948279 0.939167 0.930824 0.923188 0.916198 0.909796 0.903926 0.898539 0.893589 
1.52305 0.909349 0.916445 0.924199 0.932677 0.941946 0.952075 0.96313 0.975172 0.988247 0.999229 0.997124 0.981696 0.952098 0.907007 0.845093 0.765364 0.667542 0.55245 0.422447 0.281872 0.137758 0.0107569 0.082783 0.23139 0.374214 0.508568 0.629285 0.733361 0.819471 0.887558 0.938384 0.973212 0.993392 1 0.99285 0.979401 0.966997 0.9556 0.945152 0.93559 0.926845 0.918848 0.911533 0.904837 0.898704 0.893078 0.887911 
