K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
0 0.0170202 0.0175093 0.0179905 0.0184607 0.0189165 0.0193546 0.0197717 0.0201645 0.0205299 0.0208647 0.0211665 0.0214327 0.0216616 0.0218515 0.0220016 0.0221112 0.0221804 0.0222096 0.0222 0.0221528 
0.0801603 0.0171082 0.0176063 0.0180965 0.0185755 0.01904 0.0194864 0.0199114 0.0203114 0.0206833 0.0210238 0.0213302 0.0216002 0.0218316 0.0220229 0.022173 0.0222816 0.0223485 0.0223744 0.0223602 0.0223075 
0.160321 0.017197 0.0177042 0.0182035 0.0186916 0.0191649 0.0196199 0.0200529 0.0204604 0.0208389 0.0211852 0.0214965 0.0217702 0.0220042 0.0221968 0.0223471 0.0224545 0.0225191 0.0225414 0.0225227 0.0224643 
0.240481 0.0172865 0.017803 0.0183117 0.018809 0.0192914 0.0197551 0.0201963 0.0206114 0.0209968 0.0213491 0.0216653 0.0219428 0.0221794 0.0223735 0.0225239 0.0226301 0.0226922 0.0227109 0.0226874 0.0226232 
0.320641 0.0173767 0.0179027 0.0184209 0.0189277 0.0194193 0.0198919 0.0203416 0.0207645 0.0211569 0.0215153 0.0218366 0.022118 0.0223573 0.0225528 0.0227033 0.0228083 0.0228679 0.0228828 0.0228543 0.0227841 
0.400802 0.0174676 0.0180032 0.0185311 0.0190476 0.0195487 0.0200304 0.0204887 0.0209196 0.0213192 0.0216839 0.0220104 0.0222959 0.0225379 0.0227348 0.0228853 0.022989 0.023046 0.023057 0.0230234 0.0229471 
0.480962 0.017559 0.0181045 0.0186424 0.0191687 0.0196795 0.0201706 0.0206377 0.0210768 0.0214838 0.0218549 0.0221867 0.0224763 0.0227212 0.0229195 0.0230701 0.0231724 0.0232266 0.0232336 0.0231948 0.023112 
0.561122 0.0176511 0.0182066 0.0187546 0.019291 0.0198117 0.0203124 0.0207886 0.0212361 0.0216506 0.0220283 0.0223656 0.0226594 0.0229071 0.0231069 0.0232575 0.0233584 0.0234098 0.0234126 0.0233683 0.023279 
0.641283 0.0177437 0.0183095 0.0188678 0.0194145 0.0199453 0.0204558 0.0209413 0.0213974 0.0218197 0.0222042 0.022547 0.0228451 0.0230958 0.023297 0.0234476 0.023547 0.0235955 0.023594 0.0235441 0.023448 
0.721443 0.0178369 0.0184131 0.0189819 0.0195392 0.0200804 0.0206008 0.0210958 0.0215608 0.021991 0.0223824 0.022731 0.0230335 0.0232872 0.0234899 0.0236405 0.0237383 0.0237837 0.0237777 0.0237221 0.0236191 
0.801603 0.0179306 0.0185174 0.019097 0.019665 0.0202168 0.0207475 0.0212522 0.0217262 0.0221646 0.0225631 0.0229175 0.0232246 0.0234813 0.0236855 0.023836 0.0239322 0.0239745 0.0239639 0.0239022 0.023792 
0.881764 0.0180247 0.0186224 0.0192129 0.0197919 0.0203545 0.0208957 0.0214104 0.0218936 0.0223404 0.0227462 0.0231067 0.0234183 0.0236781 0.0238839 0.0240343 0.0241288 0.0241678 0.0241524 0.0240846 0.023967 
0.961924 0.0181193 0.018728 0.0193298 0.0199199 0.0204936 0.0210455 0.0215705 0.0220632 0.0225185 0.0229317 0.0232983 0.0236147 0.0238777 0.0240851 0.0242353 0.0243281 0.0243636 0.0243433 0.0242692 0.024144 
1.04208 0.0182143 0.0188342 0.0194474 0.020049 0.020634 0.0211969 0.0217323 0.0222347 0.0226988 0.0231197 0.0234926 0.0238138 0.0240801 0.024289 0.0244391 0.02453 0.024562 0.0245366 0.0244559 0.0243229 
1.12224 0.0183098 0.0189411 0.0195659 0.0201792 0.0207757 0.0213498 0.0218959 0.0224083 0.0228814 0.0233101 0.0236895 0.0240157 0.0242853 0.0244957 0.0246457 0.0247346 0.024763 0.0247323 0.0246448 0.0245037 
1.2024 0.0184055 0.0190485 0.0196852 0.0203104 0.0209187 0.0215043 0.0220614 0.0225839 0.0230663 0.023503 0.023889 0.0242203 0.0244932 0.0247053 0.024855 0.0249419 0.0249665 0.0249304 0.0248359 0.0246865 
1.28257 0.0185016 0.0191565 0.0198052 0.0204426 0.021063 0.0216603 0.0222286 0.0227616 0.0232534 0.0236983 0.0240912 0.0244276 0.024704 0.0249177 0.0250672 0.025152 0.0251726 0.0251308 0.0250292 0.0248712 
1.36273 0.0185981 0.0192649 0.019926 0.0205758 0.0212085 0.0218179 0.0223976 0.0229413 0.0234428 0.0238961 0.024296 0.0246377 0.0249176 0.025133 0.0252822 0.0253647 0.0253813 0.0253337 0.0252247 0.0250579 
1.44289 0.0186947 0.0193739 0.0200475 0.0207099 0.0213552 0.0219769 0.0225684 0.0231231 0.0236344 0.0240964 0.0245034 0.0248506 0.0251341 0.0253511 0.0255 0.0255802 0.0255926 0.0255389 0.0254223 0.0252464 
1.52305 0.0187917 0.0194833 0.0201696 0.020845 0.0215032 0.0221374 0.0227409 0.0233068 0.0238284 0.0242992 0.0247135 0.0250663 0.0253535 0.0255721 0.0257206 0.0257984 0.0258064 0.0257466 0.0256221 0.0254369 
1.60321 0.0188888 0.0195931 0.0202925 0.0209811 0.0216523 0.0222994 0.0229152 0.0234926 0.0240246 0.0245045 0.0249263 0.0252848 0.0255757 0.0257961 0.0259441 0.0260194 0.0260229 0.0259566 0.025824 0.0256292 
1.68337 0.0189861 0.0197033 0.020416 0.021118 0.0218026 0.0224628 0.0230913 0.0236804 0.0242231 0.0247123 0.0251418 0.0255061 0.0258009 0.0260229 0.0261705 0.0262432 0.026242 0.0261691 0.0260281 0.0258234 
1.76353 0.0190836 0.0198139 0.02054 0.0212557 0.0219541 0.0226277 0.023269 0.0238703 0.0244239 0.0249226 0.02536 0.0257303 0.0260289 0.0262527 0.0263998 0.0264697 0.0264637 0.026384 0.0262343 0.0260195 
1.84369 0.0191812 0.0199248 0.0206647 0.0213944 0.0221067 0.0227941 0.0234486 0.0240622 0.024627 0.0251355 0.0255809 0.0259573 0.02626 0.0264855 0.026632 0.0266991 0.026688 0.0266012 0.0264427 0.0262174 
1.92385 0.0192788 0.020036 0.0207899 0.0215338 0.0222604 0.0229618 0.0236298 0.024256 0.0248324 0.0253509 0.0258046 0.0261872 0.026494 0.0267212 0.0268671 0.0269313 0.0269149 0.0268209 0.0266532 0.0264172 
2.00401 0.0193766 0.0201475 0.0209156 0.0216741 0.0224152 0.023131 0.0238127 0.024452 0.02504 0.0255688 0.026031 0.0264201 0.0267309 0.02696 0.0271052 0.0271663 0.0271446 0.027043 0.0268659 0.0266187 
2.08417 0.0194743 0.0202592 0.0210419 0.0218151 0.0225711 0.0233015 0.0239974 0.0246499 0.02525 0.0257893 0.0262602 0.0266558 0.0269709 0.0272018 0.0273463 0.0274041 0.0273768 0.0272675 0.0270807 0.0268221 
2.16433 0.019572 0.0203712 0.0211686 0.0219569 0.022728 0.0234734 0.0241837 0.0248498 0.0254623 0.0260124 0.0264921 0.0268945 0.027214 0.0274466 0.0275903 0.0276448 0.0276118 0.0274944 0.0272976 0.0270273 
2.24449 0.0196697 0.0204833 0.0212957 0.0220994 0.022886 0.0236466 0.0243718 0.0250517 0.0256769 0.0262381 0.0267269 0.0271361 0.02746 0.0276945 0.0278374 0.0278884 0.0278494 0.0277237 0.0275166 0.0272343 
2.32465 0.0197673 0.0205956 0.0214232 0.0222425 0.023045 0.0238212 0.0245615 0.0252557 0.0258938 0.0264663 0.0269645 0.0273808 0.0277092 0.0279455 0.0280874 0.0281349 0.0280896 0.0279555 0.0277377 0.0274431 
2.40481 0.0198648 0.020708 0.0215511 0.0223864 0.0232049 0.0239971 0.0247528 0.0254616 0.026113 0.0266971 0.0272049 0.0276284 0.0279614 0.0281996 0.0283405 0.0283842 0.0283326 0.0281896 0.0279609 0.0276536 
2.48497 0.0199622 0.0208204 0.0216793 0.0225308 0.0233658 0.0241743 0.0249458 0.0256695 0.0263346 0.0269306 0.0274482 0.0278791 0.0282168 0.0284568 0.0285967 0.0286365 0.0285783 0.0284262 0.0281863 0.0278658 
2.56513 0.0200594 0.0209329 0.0218079 0.0226759 0.0235277 0.0243528 0.0251405 0.0258795 0.0265584 0.0271667 0.0276943 0.0281327 0.0284753 0.0287172 0.028856 0.0288918 0.0288267 0.0286652 0.0284137 0.0280798 
2.64529 0.0201564 0.0210455 0.0219367 0.0228216 0.0236904 0.0245326 0.0253368 0.0260914 0.0267846 0.0274054 0.0279433 0.0283895 0.028737 0.0289807 0.0291184 0.02915 0.0290778 0.0289067 0.0286432 0.0282955 
2.72545 0.0202531 0.021158 0.0220658 0.0229678 0.023854 0.0247136 0.0255347 0.0263053 0.0270132 0.0276467 0.0281952 0.0286494 0.0290018 0.0292475 0.0293839 0.0294111 0.0293317 0.0291505 0.0288747 0.0285129 
2.80561 0.0203495 0.0212704 0.0221951 0.0231145 0.0240185 0.0248958 0.0257342 0.0265211 0.0272441 0.0278907 0.0284501 0.0289123 0.0292699 0.0295175 0.0296526 0.0296752 0.0295882 0.0293968 0.0291084 0.0287319 
2.88577 0.0204457 0.0213828 0.0223246 0.0232618 0.0241839 0.0250792 0.0259353 0.026739 0.0274773 0.0281374 0.0287078 0.0291784 0.0295412 0.0297908 0.0299245 0.0299424 0.0298476 0.0296456 0.0293441 0.0289527 
2.96593 0.0205415 0.0214951 0.0224542 0.0234094 0.02435 0.0252638 0.0261379 0.0269588 0.0277128 0.0283868 0.0289686 0.0294477 0.0298158 0.0300674 0.0301995 0.0302125 0.0301097 0.0298967 0.0295819 0.029175 
3.04609 0.020637 0.0216072 0.0225839 0.0235576 0.0245169 0.0254496 0.0263422 0.0271806 0.0279507 0.0286388 0.0292323 0.0297201 0.0300937 0.0303472 0.0304778 0.0304857 0.0303745 0.0301503 0.0298217 0.029399 
3.12625 0.020732 0.0217191 0.0227138 0.0237061 0.0246846 0.0256365 0.0265479 0.0274043 0.028191 0.0288936 0.0294989 0.0299957 0.0303749 0.0306304 0.0307593 0.030762 0.0306421 0.0304063 0.0300635 0.0296246 
3.20641 0.0208266 0.0218308 0.0228436 0.023855 0.024853 0.0258245 0.0267553 0.02763 0.0284336 0.029151 0.0297686 0.0302746 0.0306595 0.030917 0.0310441 0.0310413 0.0309126 0.0306647 0.0303073 0.0298518 
3.28657 0.0209207 0.0219422 0.0229735 0.0240042 0.0250221 0.0260137 0.0269641 0.0278577 0.0286785 0.0294112 0.0300414 0.0305567 0.0309474 0.0312069 0.0313322 0.0313237 0.0311858 0.0309256 0.0305532 0.0300806 
3.36673 0.0210143 0.0220534 0.0231034 0.0241537 0.0251919 0.0262039 0.0271744 0.0280873 0.0289259 0.0296741 0.0303172 0.0308421 0.0312387 0.0315003 0.0316236 0.0316093 0.0314618 0.0311889 0.0308011 0.0303109 
3.44689 0.0211073 0.0221642 0.0232332 0.0243035 0.0253623 0.0263952 0.0273863 0.0283188 0.0291755 0.0299398 0.030596 0.0311308 0.0315335 0.0317971 0.0319183 0.0318979 0.0317406 0.0314546 0.0310509 0.0305427 
3.52705 0.0211998 0.0222746 0.0233629 0.0244535 0.0255333 0.0265874 0.0275996 0.0285522 0.0294276 0.0302082 0.030878 0.0314228 0.0318317 0.0320974 0.0322164 0.0321897 0.0320223 0.0317228 0.0313028 0.0307761 
3.60721 0.0212917 0.0223847 0.0234925 0.0246037 0.0257049 0.0267807 0.0278143 0.0287876 0.029682 0.0304794 0.031163 0.0317182 0.0321335 0.0324012 0.0325179 0.0324847 0.0323068 0.0319934 0.0315566 0.0310109 
3.68737 0.0213829 0.0224943 0.0236219 0.0247541 0.025877 0.026975 0.0280305 0.0290248 0.0299387 0.0307534 0.0314512 0.032017 0.0324387 0.0327085 0.0328228 0.0327828 0.0325942 0.0322664 0.0318124 0.0312472 
3.76754 0.0214734 0.0226035 0.0237512 0.0249046 0.0260497 0.0271702 0.0282481 0.029264 0.0301979 0.0310302 0.0317425 0.0323191 0.0327475 0.0330194 0.0331311 0.0330842 0.0328844 0.0325418 0.0320701 0.0314849 
3.8477 0.0215632 0.0227121 0.0238801 0.0250552 0.0262228 0.0273664 0.0284671 0.029505 0.0304594 0.0313097 0.032037 0.0326247 0.0330599 0.0333338 0.033443 0.0333887 0.0331774 0.0328197 0.0323297 0.0317241 
3.92786 0.0216523 0.0228202 0.0240089 0.0252059 0.0263964 0.0275634 0.0286875 0.029748 0.0307232 0.0315921 0.0323347 0.0329338 0.0333759 0.033652 0.0337583 0.0336965 0.0334733 0.0331 0.0325913 0.0319646 
4.00802 0.0217406 0.0229278 0.0241373 0.0253566 0.0265705 0.0277613 0.0289093 0.0299928 0.0309895 0.0318773 0.0326356 0.0332464 0.0336955 0.0339737 0.0340771 0.0340076 0.0337721 0.0333827 0.0328547 0.0322065 
4.08818 0.0218281 0.0230347 0.0242653 0.0255072 0.0267449 0.0279601 0.0291323 0.0302394 0.0312581 0.0321654 0.0329398 0.0335625 0.0340188 0.0342992 0.0343995 0.0343219 0.0340738 0.0336678 0.0331201 0.0324497 
4.16834 0.0219147 0.023141 0.024393 0.0256579 0.0269196 0.0281596 0.0293568 0.0304879 0.0315291 0.0324563 0.0332472 0.0338821 0.0343458 0.0346283 0.0347255 0.0346395 0.0343784 0.0339553 0.0333873 0.0326943 
4.2485 0.0220004 0.0232465 0.0245203 0.0258084 0.0270947 0.02836 0.0295825 0.0307382 0.0318024 0.0327501 0.0335578 0.0342053 0.0346766 0.0349613 0.0350551 0.0349605 0.0346859 0.0342452 0.0336563 0.0329401 
4.32866 0.0220852 0.0233514 0.0246471 0.0259588 0.0272701 0.0285611 0.0298094 0.0309904 0.0320781 0.0330467 0.0338718 0.0345322 0.0350112 0.035298 0.0353883 0.0352848 0.0349963 0.0345375 0.0339272 0.0331872 
4.40882 0.0221691 0.0234555 0.0247734 0.0261091 0.0274457 0.0287629 0.0300377 0.0312444 0.0323562 0.0333462 0.0341891 0.0348626 0.0353495 0.0356385 0.0357252 0.0356124 0.0353097 0.0348322 0.0341999 0.0334355 
4.48898 0.022252 0.0235588 0.0248991 0.0262591 0.0276215 0.0289654 0.0302671 0.0315001 0.0326366 0.0336486 0.0345097 0.0351967 0.0356917 0.0359829 0.0360658 0.0359434 0.0356259 0.0351293 0.0344745 0.033685 
