K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
0 0.693212 0.645878 0.595421 0.542041 0.485994 0.427614 0.36729 0.305508 0.242852 0.180039 0.117986 0.049548 0.00919051 0.0163318 0.0708131 0.136473 0.198878 0.261748 0.324234 0.385657 
0.0801603 0.696799 0.649457 0.598928 0.545413 0.489166 0.430525 0.369884 0.307734 0.244667 0.181412 0.118899 0.0499351 0.00926262 0.0164599 0.0713649 0.137524 0.200385 0.263689 0.326574 0.388351 
0.160321 0.700416 0.653069 0.602471 0.548822 0.492377 0.433475 0.372513 0.30999 0.246508 0.182805 0.119826 0.0503282 0.00933586 0.0165899 0.0719253 0.138592 0.201915 0.265659 0.328946 0.391081 
0.240481 0.704062 0.656713 0.60605 0.552269 0.495625 0.436461 0.375177 0.312278 0.248376 0.184219 0.120767 0.0507272 0.00941021 0.0167219 0.0724941 0.139676 0.203467 0.267656 0.331352 0.393847 
0.320641 0.707735 0.66039 0.609664 0.555753 0.498912 0.439484 0.377876 0.314598 0.250269 0.185653 0.121721 0.0511323 0.0094857 0.0168559 0.0730715 0.140775 0.205042 0.269681 0.333789 0.396648 
0.400802 0.711435 0.664097 0.613313 0.559274 0.502236 0.442544 0.380609 0.316948 0.25219 0.187108 0.12269 0.0515434 0.00956231 0.016992 0.0736575 0.141891 0.206639 0.271735 0.33626 0.399485 
0.480962 0.71516 0.667835 0.616994 0.56283 0.505596 0.445641 0.383377 0.31933 0.254137 0.188584 0.123673 0.0519606 0.00964007 0.01713 0.0742521 0.143023 0.208259 0.273816 0.338762 0.402357 
0.561122 0.71891 0.671601 0.620709 0.566422 0.508994 0.448774 0.38618 0.321743 0.25611 0.19008 0.12467 0.0523838 0.00971896 0.0172701 0.0748554 0.144171 0.209901 0.275926 0.341297 0.405264 
0.641283 0.722682 0.675395 0.624455 0.570048 0.512427 0.451942 0.389017 0.324187 0.25811 0.191597 0.125682 0.0528132 0.009799 0.0174122 0.0754673 0.145335 0.211566 0.278063 0.343864 0.408206 
0.721443 0.726477 0.679217 0.628233 0.573709 0.515896 0.455147 0.391888 0.326662 0.260137 0.193135 0.126707 0.0532487 0.0098802 0.0175563 0.0760879 0.146516 0.213254 0.280229 0.346464 0.411183 
0.801603 0.730292 0.683064 0.632041 0.577402 0.5194 0.458387 0.394793 0.329168 0.26219 0.194694 0.127747 0.0536904 0.00996255 0.0177025 0.0767173 0.147713 0.214965 0.282423 0.349095 0.414195 
0.881764 0.734127 0.686937 0.635879 0.581129 0.522939 0.461662 0.397732 0.331706 0.26427 0.196274 0.128801 0.0541382 0.0100461 0.0178508 0.0773555 0.148926 0.216698 0.284644 0.351759 0.417241 
0.961924 0.73798 0.690833 0.639745 0.584888 0.526512 0.464972 0.400704 0.334274 0.266377 0.197875 0.129869 0.0545923 0.0101308 0.0180011 0.0780026 0.150156 0.218454 0.286894 0.354454 0.420321 
1.04208 0.74185 0.694752 0.643639 0.588679 0.530119 0.468316 0.403711 0.336873 0.26851 0.199497 0.130952 0.0550527 0.0102166 0.0181536 0.0786585 0.151402 0.220233 0.289172 0.357182 0.423436 
1.12224 0.745736 0.698694 0.64756 0.592501 0.53376 0.471695 0.406751 0.339503 0.27067 0.20114 0.13205 0.0555193 0.0103037 0.0183081 0.0793233 0.152665 0.222034 0.291479 0.359941 0.426585 
