T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 0.000151342 0.000154724 0.000158143 0.0001616 0.000165093 0.000168625 0.000172193 0.0001758 0.000179443 0.000183124 0.000186842 0.000190597 0.00019439 0.000198221 0.000202088 0.000205993 0.000209936 0.000213915 0.000217932 0.000221987 0.000226079 0.000230208 0.000234374 0.000238578 0.00024282 0.000247098 0.000251414 0.000255768 0.000260159 0.000264587 0.000269052 0.000273555 0.000278095 0.000282673 0.000287288 0.00029194 0.00029663 0.000301357 0.000306122 0.000310924 0.000315763 0.000320639 0.000325553 0.000330505 0.000335493 0.000340519 0.000345583 
0.0250156 0.000144207 0.00014743 0.000150688 0.000153981 0.000157311 0.000160676 0.000164076 0.000167512 0.000170984 0.000174491 0.000178034 0.000181612 0.000185226 0.000188876 0.000192561 0.000196282 0.000200039 0.000203831 0.000207659 0.000211522 0.000215421 0.000219355 0.000223326 0.000227331 0.000231373 0.00023545 0.000239562 0.000243711 0.000247894 0.000252114 0.000256369 0.000260659 0.000264986 0.000269347 0.000273745 0.000278178 0.000282647 0.000287151 0.000291691 0.000296266 0.000300877 0.000305524 0.000310206 0.000314924 0.000319678 0.000324467 0.000329291 
0.0500313 0.00014435 0.000147576 0.000150837 0.000154134 0.000157467 0.000160835 0.000164239 0.000167678 0.000171153 0.000174664 0.00017821 0.000181792 0.00018541 0.000189063 0.000192752 0.000196477 0.000200237 0.000204033 0.000207865 0.000211732 0.000215635 0.000219573 0.000223547 0.000227557 0.000231602 0.000235683 0.0002398 0.000243952 0.00024814 0.000252364 0.000256623 0.000260918 0.000265248 0.000269615 0.000274016 0.000278454 0.000282927 0.000287436 0.00029198 0.00029656 0.000301176 0.000305827 0.000310514 0.000315236 0.000319995 0.000324788 0.000329618 
0.0750469 0.000139584 0.000142703 0.000145857 0.000149045 0.000152267 0.000155524 0.000158816 0.000162142 0.000165502 0.000168897 0.000172326 0.00017579 0.000179288 0.000182821 0.000186388 0.000189989 0.000193626 0.000197296 0.000201001 0.000204741 0.000208514 0.000212323 0.000216166 0.000220043 0.000223955 0.000227901 0.000231882 0.000235897 0.000239947 0.000244031 0.000248149 0.000252303 0.00025649 0.000260712 0.000264968 0.000269259 0.000273585 0.000277945 0.000282339 0.000286768 0.000291231 0.000295729 0.000300261 0.000304827 0.000309429 0.000314064 0.000318734 
0.100063 0.00014448 0.000147708 0.000150972 0.000154272 0.000157608 0.000160979 0.000164386 0.000167828 0.000171307 0.000174821 0.00017837 0.000181955 0.000185576 0.000189233 0.000192925 0.000196653 0.000200417 0.000204216 0.000208051 0.000211922 0.000215828 0.00021977 0.000223748 0.000227761 0.00023181 0.000235895 0.000240015 0.000244171 0.000248363 0.00025259 0.000256853 0.000261152 0.000265486 0.000269856 0.000274262 0.000278703 0.00028318 0.000287693 0.000292242 0.000296826 0.000301446 0.000306101 0.000310792 0.000315519 0.000320281 0.00032508 0.000329913 
0.125078 0.000143912 0.000147127 0.000150379 0.000153666 0.000156988 0.000160346 0.000163739 0.000167168 0.000170633 0.000174133 0.000177669 0.00018124 0.000184846 0.000188489 0.000192166 0.00019588 0.000199628 0.000203413 0.000207233 0.000211088 0.000214979 0.000218906 0.000222868 0.000226865 0.000230898 0.000234967 0.000239071 0.000243211 0.000247386 0.000251597 0.000255843 0.000260125 0.000264442 0.000268795 0.000273183 0.000277607 0.000282067 0.000286562 0.000291092 0.000295658 0.00030026 0.000304897 0.00030957 0.000314278 0.000319022 0.000323801 0.000328616 
0.150094 0.000139918 0.000143045 0.000146206 0.000149402 0.000152632 0.000155896 0.000159196 0.00016253 0.000165898 0.000169301 0.000172738 0.000176211 0.000179717 0.000183258 0.000186834 0.000190444 0.000194089 0.000197768 0.000201482 0.000205231 0.000209014 0.000212831 0.000216683 0.00022057 0.000224491 0.000228447 0.000232437 0.000236462 0.000240521 0.000244615 0.000248743 0.000252906 0.000257104 0.000261336 0.000265603 0.000269904 0.00027424 0.00027861 0.000283015 0.000287454 0.000291928 0.000296437 0.00030098 0.000305557 0.000310169 0.000314816 0.000319497 
0.175109 0.000141707 0.000144874 0.000148075 0.000151312 0.000154583 0.00015789 0.000161231 0.000164608 0.000168019 0.000171465 0.000174947 0.000178463 0.000182015 0.000185601 0.000189223 0.000192879 0.00019657 0.000200297 0.000204058 0.000207854 0.000211686 0.000215552 0.000219453 0.00022339 0.000227361 0.000231367 0.000235409 0.000239485 0.000243596 0.000247742 0.000251924 0.00025614 0.000260391 0.000264677 0.000268998 0.000273355 0.000277746 0.000282172 0.000286633 0.000291129 0.00029566 0.000300226 0.000304828 0.000309464 0.000314135 0.000318841 0.000323582 
0.200125 0.000133074 0.000136048 0.000139054 0.000142094 0.000145166 0.000148271 0.000151409 0.00015458 0.000157783 0.00016102 0.000164289 0.000167591 0.000170926 0.000174294 0.000177695 0.000181129 0.000184595 0.000188095 0.000191627 0.000195192 0.00019879 0.000202421 0.000206084 0.000209781 0.00021351 0.000217272 0.000221067 0.000224895 0.000228756 0.00023265 0.000236576 0.000240536 0.000244528 0.000248553 0.000252611 0.000256702 0.000260825 0.000264982 0.000269171 0.000273393 0.000277649 0.000281937 0.000286257 0.000290611 0.000294997 0.000299417 0.000303869 
0.225141 0.000144623 0.000147855 0.000151122 0.000154425 0.000157764 0.000161139 0.000164549 0.000167995 0.000171477 0.000174994 0.000178547 0.000182136 0.00018576 0.000189421 0.000193116 0.000196848 0.000200615 0.000204418 0.000208257 0.000212132 0.000216042 0.000219988 0.000223969 0.000227987 0.00023204 0.000236128 0.000240253 0.000244413 0.000248609 0.00025284 0.000257108 0.000261411 0.000265749 0.000270124 0.000274534 0.00027898 0.000283461 0.000287978 0.000292531 0.00029712 0.000301744 0.000306405 0.0003111 0.000315832 0.000320599 0.000325402 0.000330241 
0.250156 0.000140669 0.000143813 0.000146991 0.000150203 0.000153451 0.000156733 0.00016005 0.000163402 0.000166788 0.00017021 0.000173666 0.000177156 0.000180682 0.000184242 0.000187837 0.000191466 0.000195131 0.00019883 0.000202564 0.000206332 0.000210135 0.000213973 0.000217846 0.000221754 0.000225696 0.000229673 0.000233684 0.000237731 0.000241812 0.000245928 0.000250078 0.000254264 0.000258484 0.000262739 0.000267028 0.000271353 0.000275712 0.000280105 0.000284534 0.000288997 0.000293495 0.000298028 0.000302595 0.000307197 0.000311834 0.000316506 0.000321212 
