T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 0.00601245 0.00643427 0.00689282 0.00739115 0.00793232 0.00851922 0.00915446 0.00984012 0.0105774 0.0113664 0.0122055 0.0130909 0.0140161 0.0149715 0.0159438 0.0169159 0.0178674 0.0187745 0.0196123 0.0203553 0.0209805 0.0214688 0.021807 0.0219893 0.0220173 0.0218998 0.0216513 0.0212903 0.0208375 0.0203142 0.0197406 0.0191351 0.0185134 0.0178888 0.0172715 0.0166697 0.0160891 0.0155338 0.0150064 0.0145082 0.0140398 0.013601 0.0131911 0.0128092 0.0124542 0.0121246 0.0118191 
0.0250156 0.00600429 0.00642639 0.00688537 0.00738431 0.00792629 0.00851426 0.00915087 0.00983824 0.0105777 0.0113692 0.0122114 0.0131004 0.0140297 0.0149897 0.015967 0.0169445 0.0179014 0.0188139 0.0196565 0.0204037 0.021032 0.0215222 0.0218609 0.0220423 0.022068 0.021947 0.021694 0.0213278 0.0208695 0.0203406 0.0197614 0.0191505 0.0185238 0.0178946 0.0172732 0.0166677 0.0160838 0.0155257 0.0149958 0.0144955 0.0140253 0.0135849 0.0131737 0.0127907 0.0124347 0.0121043 0.0117982 
0.0500313 0.00599613 0.00641851 0.00687791 0.00737745 0.00792024 0.00850927 0.00914724 0.00983633 0.0105779 0.011372 0.0122172 0.0131098 0.0140433 0.0150079 0.0159903 0.0169731 0.0179355 0.0188533 0.0197009 0.0204523 0.0210838 0.0215759 0.0219151 0.0220955 0.0221189 0.0219943 0.0217368 0.0213655 0.0209016 0.0203669 0.0197821 0.0191659 0.0185342 0.0179003 0.0172748 0.0166656 0.0160785 0.0155176 0.0149852 0.0144828 0.0140108 0.0135688 0.0131563 0.0127722 0.0124153 0.0120841 0.0117772 
0.0750469 0.00598796 0.00641062 0.00687044 0.00737058 0.00791417 0.00850426 0.00914359 0.00983439 0.010578 0.0113748 0.0122231 0.0131192 0.0140568 0.0150261 0.0160136 0.0170018 0.0179697 0.0188929 0.0197455 0.0205011 0.0211358 0.0216298 0.0219695 0.0221489 0.02217 0.0220418 0.0217798 0.0214032 0.0209337 0.0203933 0.0198029 0.0191812 0.0185445 0.017906 0.0172763 0.0166634 0.0160731 0.0155094 0.0149746 0.0144701 0.0139962 0.0135528 0.013139 0.0127537 0.0123958 0.0120639 0.0117563 
0.100063 0.00597979 0.00640272 0.00686296 0.00736369 0.00790808 0.00849922 0.00913991 0.00983241 0.0105782 0.0113775 0.0122288 0.0131286 0.0140704 0.0150443 0.0160369 0.0170306 0.018004 0.0189327 0.0197902 0.0205502 0.0211881 0.021684 0.0220242 0.0222026 0.0222213 0.0220895 0.0218229 0.0214411 0.0209659 0.0204198 0.0198236 0.0191965 0.0185547 0.0179116 0.0172778 0.0166612 0.0160677 0.0155011 0.0149639 0.0144573 0.0139816 0.0135366 0.0131216 0.0127352 0.0123764 0.0120436 0.0117354 
0.125078 0.00597161 0.00639482 0.00685547 0.00735678 0.00790197 0.00849416 0.0091362 0.0098304 0.0105783 0.0113802 0.0122346 0.013138 0.0140839 0.0150626 0.0160603 0.0170594 0.0180384 0.0189726 0.0198352 0.0205994 0.0212406 0.0217384 0.0220791 0.0222566 0.0222728 0.0221374 0.0218661 0.021479 0.0209982 0.0204462 0.0198444 0.0192118 0.018565 0.0179172 0.0172792 0.016659 0.0160622 0.0154928 0.0149531 0.0144445 0.013967 0.0135205 0.0131041 0.0127167 0.012357 0.0120234 0.0117146 
0.150094 0.00596344 0.0063869 0.00684796 0.00734985 0.00789583 0.00848907 0.00913245 0.00982836 0.0105784 0.0113828 0.0122403 0.0131473 0.0140974 0.0150808 0.0160837 0.0170883 0.018073 0.0190126 0.0198803 0.0206488 0.0212933 0.0217931 0.0221343 0.0223107 0.0223245 0.0221854 0.0219095 0.021517 0.0210305 0.0204727 0.0198651 0.0192271 0.0185751 0.0179228 0.0172806 0.0166567 0.0160567 0.0154844 0.0149424 0.0144316 0.0139524 0.0135044 0.0130867 0.0126982 0.0123376 0.0120032 0.0116937 
0.175109 0.00595525 0.00637898 0.00684044 0.00734291 0.00788968 0.00848395 0.00912868 0.00982629 0.0105784 0.0113854 0.012246 0.0131567 0.014111 0.015099 0.0161071 0.0171173 0.0181076 0.0190528 0.0199256 0.0206985 0.0213462 0.021848 0.0221897 0.0223651 0.0223764 0.0222336 0.021953 0.0215552 0.0210629 0.0204992 0.0198858 0.0192423 0.0185853 0.0179283 0.0172819 0.0166543 0.0160511 0.015476 0.0149316 0.0144187 0.0139377 0.0134882 0.0130693 0.0126797 0.0123181 0.011983 0.0116729 
0.200125 0.00594706 0.00637105 0.00683291 0.00733595 0.0078835 0.00847881 0.00912488 0.00982418 0.0105784 0.011388 0.0122517 0.013166 0.0141245 0.0151173 0.0161306 0.0171463 0.0181423 0.0190931 0.019971 0.0207483 0.0213994 0.0219032 0.0222454 0.0224197 0.0224285 0.022282 0.0219967 0.0215934 0.0210953 0.0205257 0.0199066 0.0192575 0.0185954 0.0179337 0.0172832 0.0166519 0.0160454 0.0154676 0.0149207 0.0144058 0.0139231 0.013472 0.0130518 0.0126612 0.0122987 0.0119629 0.0116521 
0.225141 0.00593887 0.00636312 0.00682537 0.00732897 0.0078773 0.00847364 0.00912104 0.00982203 0.0105784 0.0113905 0.0122573 0.0131752 0.014138 0.0151356 0.0161541 0.0171754 0.0181771 0.0191335 0.0200166 0.0207984 0.0214528 0.0219586 0.0223013 0.0224746 0.0224809 0.0223306 0.0220404 0.0216317 0.0211278 0.0205522 0.0199273 0.0192727 0.0186054 0.0179391 0.0172844 0.0166494 0.0160397 0.0154591 0.0149098 0.0143928 0.0139083 0.0134558 0.0130344 0.0126427 0.0122793 0.0119427 0.0116313 
