T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 1 1 1 1 1 1 1 1 0.999909 0.991738 0.97142 0.939038 0.894153 0.836276 0.765118 0.680766 0.583875 0.481669 0.378578 0.265722 0.146097 0.0228788 0.103552 0.224429 0.340136 0.446972 0.547446 0.648482 0.737392 0.813251 0.875785 0.925167 0.96183 0.986253 0.998612 1 1 1 1 1 1 1 1 1 1 1 1 
0.0250156 0.998643 0.998776 0.99892 0.999074 0.99924 0.999418 0.999607 0.999809 0.999932 0.991983 0.971887 0.939717 0.895019 0.837292 0.766232 0.681916 0.584986 0.482678 0.379432 0.266354 0.146456 0.0229357 0.103808 0.22497 0.340919 0.447934 0.548525 0.649626 0.738525 0.814305 0.876706 0.925911 0.96237 0.986572 0.998707 0.999878 0.999672 0.999478 0.999296 0.999126 0.998967 0.99882 0.998683 0.998556 0.998438 0.998329 0.998228 
0.0500313 0.997285 0.997551 0.997838 0.998146 0.998477 0.998832 0.999212 0.999615 0.999951 0.992225 0.972352 0.940393 0.895884 0.838308 0.767348 0.683068 0.586101 0.483691 0.380289 0.266988 0.146816 0.022993 0.104065 0.225513 0.341705 0.4489 0.549608 0.650773 0.73966 0.815361 0.877626 0.926654 0.962907 0.986889 0.998799 0.999753 0.99934 0.998953 0.998589 0.998249 0.997933 0.997639 0.997366 0.997112 0.996877 0.996659 0.996457 
0.0750469 0.995927 0.996325 0.996754 0.997216 0.997712 0.998244 0.998813 0.999418 0.999968 0.992464 0.972814 0.941069 0.896748 0.839325 0.768466 0.684223 0.587219 0.484707 0.38115 0.267625 0.147179 0.0230504 0.104323 0.226059 0.342494 0.44987 0.550694 0.651922 0.740797 0.816418 0.878547 0.927396 0.963442 0.987203 0.998889 0.999624 0.999006 0.998424 0.997879 0.997371 0.996897 0.996456 0.996047 0.995668 0.995316 0.99499 0.994688 
0.100063 0.994568 0.995098 0.995669 0.996284 0.996944 0.997653 0.99841 0.999217 0.999981 0.992701 0.973275 0.941742 0.897613 0.840343 0.769586 0.68538 0.58834 0.485727 0.382014 0.268265 0.147542 0.0231082 0.104583 0.226607 0.343287 0.450843 0.551784 0.653075 0.741936 0.817476 0.879467 0.928137 0.963976 0.987514 0.998975 0.999492 0.998668 0.997893 0.997167 0.996489 0.995859 0.995272 0.994728 0.994224 0.993756 0.993322 0.99292 
0.125078 0.993208 0.993869 0.994582 0.995349 0.996174 0.997058 0.998005 0.999013 0.99999 0.992934 0.973733 0.942415 0.898476 0.841361 0.770708 0.68654 0.589465 0.48675 0.382881 0.268908 0.147908 0.0231662 0.104844 0.227157 0.344082 0.45182 0.552877 0.654231 0.743078 0.818535 0.880387 0.928877 0.964507 0.987822 0.999058 0.999357 0.998327 0.997358 0.996452 0.995606 0.994818 0.994087 0.993408 0.992779 0.992196 0.991655 0.991154 
0.150094 0.991847 0.992639 0.993493 0.994412 0.9954 0.996461 0.997596 0.998805 0.999997 0.993165 0.974188 0.943085 0.899339 0.84238 0.771831 0.687703 0.590593 0.487777 0.383752 0.269553 0.148275 0.0232244 0.105106 0.22771 0.344881 0.4528 0.553974 0.655389 0.744221 0.819595 0.881307 0.929615 0.965036 0.988128 0.999138 0.999219 0.997982 0.996821 0.995734 0.99472 0.993776 0.9929 0.992087 0.991334 0.990636 0.989989 0.98939 
0.175109 0.990486 0.991408 0.992402 0.993473 0.994624 0.995861 0.997184 0.998594 1 0.993392 0.974641 0.943754 0.900202 0.843399 0.772955 0.688869 0.591725 0.488807 0.384626 0.270201 0.148644 0.023283 0.105369 0.228265 0.345683 0.453784 0.555074 0.65655 0.745367 0.820655 0.882227 0.930352 0.965563 0.988431 0.999214 0.999077 0.997635 0.99628 0.995013 0.993831 0.992732 0.991712 0.990766 0.989889 0.989077 0.988324 0.987627 
0.200125 0.989125 0.990176 0.991309 0.992531 0.993845 0.995257 0.996768 0.99838 1 0.993616 0.975092 0.944422 0.901064 0.844419 0.774081 0.690037 0.592859 0.489841 0.385503 0.270852 0.149014 0.0233418 0.105633 0.228822 0.346489 0.454771 0.556178 0.657715 0.746514 0.821717 0.883146 0.931087 0.966088 0.988731 0.999288 0.998931 0.997283 0.995736 0.994289 0.99294 0.991686 0.990522 0.989443 0.988443 0.987518 0.98666 0.985866 
0.225141 0.987762 0.988942 0.990215 0.991587 0.993064 0.99465 0.996349 0.998162 0.999996 0.993838 0.97554 0.945087 0.901925 0.845438 0.775209 0.691207 0.593997 0.490879 0.386384 0.271506 0.149386 0.0234008 0.105899 0.229382 0.347297 0.455762 0.557285 0.658882 0.747663 0.822779 0.884065 0.931822 0.96661 0.989028 0.999358 0.998783 0.996929 0.995189 0.993562 0.992047 0.990638 0.989331 0.98812 0.986998 0.985959 0.984997 0.984106 
0.250156 0.986399 0.987707 0.989118 0.99064 0.992279 0.99404 0.995927 0.997941 0.999989 0.994056 0.975985 0.945751 0.902785 0.846459 0.776338 0.69238 0.595138 0.49192 0.387269 0.272162 0.149759 0.0234602 0.106166 0.229944 0.348109 0.456757 0.558395 0.660052 0.748815 0.823842 0.884984 0.932554 0.96713 0.989322 0.999424 0.99863 0.996571 0.994638 0.992833 0.991151 0.989588 0.988139 0.986795 0.985552 0.984401 0.983335 0.982348 
0.275172 0.985035 0.986471 0.98802 0.989692 0.991492 0.993427 0.995501 0.997716 0.999978 0.99427 0.976428 0.946413 0.903644 0.847479 0.777469 0.693556 0.596283 0.492965 0.388156 0.272821 0.150135 0.0235197 0.106433 0.230509 0.348924 0.457755 0.559508 0.661224 0.749968 0.824906 0.885902 0.933286 0.967647 0.989613 0.999487 0.998474 0.996209 0.994084 0.9921 0.990252 0.988536 0.986945 0.98547 0.984106 0.982843 0.981674 0.980592 
0.300188 0.983671 0.985233 0.98692 0.988741 0.990702 0.992811 0.995072 0.997487 0.999964 0.994482 0.976868 0.947073 0.904502 0.8485 0.778601 0.694734 0.59743 0.494013 0.389047 0.273483 0.150512 0.0235796 0.106703 0.231076 0.349742 0.458756 0.560625 0.6624 0.751122 0.825971 0.88682 0.934015 0.968163 0.989901 0.999547 0.998315 0.995844 0.993527 0.991364 0.989351 0.987482 0.985749 0.984144 0.982659 0.981285 0.980013 0.978837 
0.325203 0.982306 0.983994 0.985818 0.987787 0.989909 0.992191 0.994639 0.997255 0.999946 0.99469 0.977305 0.947731 0.90536 0.849521 0.779735 0.695914 0.598581 0.495064 0.389942 0.274148 0.15089 0.0236397 0.106973 0.231646 0.350564 0.459761 0.561746 0.663578 0.752279 0.827036 0.887737 0.934743 0.968675 0.990185 0.999603 0.998152 0.995475 0.992967 0.990626 0.988448 0.986426 0.984552 0.982817 0.981212 0.979727 0.978354 0.977083 
