T 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
0 0.0169159 0.0173957 0.0178674 0.018328 0.0187745 0.0192037 0.0196123 0.0199972 0.0203553 0.020684 0.0209805 0.0212427 0.0214688 0.0216572 0.021807 0.0219177 0.0219893 0.0220222 0.0220173 0.021976 
0.0250156 0.0169445 0.0174269 0.0179014 0.0183647 0.0188139 0.0192455 0.0196565 0.0200436 0.0204037 0.0207341 0.021032 0.0212954 0.0215222 0.021711 0.0218609 0.0219713 0.0220423 0.0220742 0.022068 0.022025 
0.0500313 0.0169731 0.0174583 0.0179355 0.0184016 0.0188533 0.0192875 0.0197009 0.0200902 0.0204523 0.0207844 0.0210838 0.0213483 0.0215759 0.0217652 0.0219151 0.0220252 0.0220955 0.0221264 0.0221189 0.0220743 
0.0750469 0.0170018 0.0174898 0.0179697 0.0184385 0.0188929 0.0193297 0.0197455 0.020137 0.0205011 0.020835 0.0211358 0.0214014 0.0216298 0.0218195 0.0219695 0.0220793 0.0221489 0.0221788 0.02217 0.0221237 
0.100063 0.0170306 0.0175213 0.018004 0.0184756 0.0189327 0.019372 0.0197902 0.020184 0.0205502 0.0208857 0.0211881 0.0214548 0.021684 0.0218741 0.0220242 0.0221337 0.0222026 0.0222315 0.0222213 0.0221733 
0.125078 0.0170594 0.0175529 0.0180384 0.0185128 0.0189726 0.0194145 0.0198352 0.0202312 0.0205994 0.0209368 0.0212406 0.0215084 0.0217384 0.021929 0.0220791 0.0221883 0.0222566 0.0222844 0.0222728 0.0222232 
0.150094 0.0170883 0.0175846 0.018073 0.0185501 0.0190126 0.0194572 0.0198803 0.0202786 0.0206488 0.020988 0.0212933 0.0215623 0.0217931 0.0219841 0.0221343 0.0222432 0.0223107 0.0223375 0.0223245 0.0222732 
0.175109 0.0171173 0.0176164 0.0181076 0.0185875 0.0190528 0.0195 0.0199256 0.0203262 0.0206985 0.0210394 0.0213462 0.0216164 0.021848 0.0220395 0.0221897 0.0222982 0.0223651 0.0223908 0.0223764 0.0223234 
0.200125 0.0171463 0.0176483 0.0181423 0.018625 0.0190931 0.0195429 0.019971 0.0203739 0.0207483 0.0210911 0.0213994 0.0216708 0.0219032 0.0220951 0.0222454 0.0223536 0.0224197 0.0224444 0.0224285 0.0223738 
0.225141 0.0171754 0.0176802 0.0181771 0.0186627 0.0191335 0.019586 0.0200166 0.0204219 0.0207984 0.021143 0.0214528 0.0217254 0.0219586 0.0221509 0.0223013 0.0224092 0.0224746 0.0224981 0.0224809 0.0224244 
0.250156 0.0172045 0.0177123 0.018212 0.0187005 0.0191741 0.0196293 0.0200625 0.0204701 0.0208487 0.0211951 0.0215065 0.0217802 0.0220143 0.0222071 0.0223575 0.022465 0.0225297 0.0225521 0.0225334 0.0224752 
0.275172 0.0172337 0.0177444 0.0182471 0.0187384 0.0192148 0.0196727 0.0201084 0.0205184 0.0208992 0.0212475 0.0215604 0.0218353 0.0220702 0.0222634 0.0224139 0.022521 0.022585 0.0226063 0.0225862 0.0225261 
0.300188 0.017263 0.0177766 0.0182822 0.0187764 0.0192557 0.0197163 0.0201546 0.020567 0.0209499 0.0213 0.0216145 0.0218907 0.0221264 0.02232 0.0224705 0.0225774 0.0226406 0.0226608 0.0226391 0.0225773 
0.325203 0.0172924 0.0178088 0.0183174 0.0188145 0.0192967 0.01976 0.020201 0.0206157 0.0210008 0.0213528 0.0216689 0.0219462 0.0221828 0.0223769 0.0225274 0.0226339 0.0226964 0.0227154 0.0226923 0.0226286 
0.350219 0.0173217 0.0178412 0.0183527 0.0188528 0.0193378 0.0198039 0.0202475 0.0206646 0.0210519 0.0214058 0.0217235 0.0220021 0.0222395 0.022434 0.0225846 0.0226907 0.0227524 0.0227703 0.0227457 0.0226802 
0.375235 0.0173512 0.0178736 0.0183881 0.0188911 0.019379 0.019848 0.0202942 0.0207138 0.0211032 0.0214591 0.0217783 0.0220581 0.0222964 0.0224914 0.022642 0.0227477 0.0228087 0.0228254 0.0227993 0.0227319 
0.40025 0.0173807 0.0179061 0.0184236 0.0189296 0.0194204 0.0198922 0.020341 0.0207631 0.0211548 0.0215126 0.0218334 0.0221144 0.0223536 0.022549 0.0226997 0.022805 0.0228652 0.0228808 0.0228531 0.0227839 
0.425266 0.0174103 0.0179387 0.0184592 0.0189682 0.019462 0.0199365 0.0203881 0.0208126 0.0212065 0.0215663 0.0218887 0.022171 0.022411 0.0226069 0.0227576 0.0228626 0.0229219 0.0229363 0.0229071 0.022836 
0.450281 0.0174399 0.0179713 0.0184949 0.0190069 0.0195036 0.0199811 0.0204353 0.0208623 0.0212585 0.0216202 0.0219442 0.0222278 0.0224687 0.022665 0.0228158 0.0229204 0.0229789 0.0229921 0.0229613 0.0228883 
0.475297 0.0174695 0.018004 0.0185306 0.0190457 0.0195454 0.0200257 0.0204827 0.0209122 0.0213107 0.0216743 0.022 0.0222849 0.0225266 0.0227234 0.0228742 0.0229784 0.0230361 0.0230481 0.0230157 0.0229408 
0.500313 0.0174993 0.0180368 0.0185665 0.0190847 0.0195874 0.0200706 0.0205302 0.0209623 0.021363 0.0217287 0.022056 0.0223422 0.0225848 0.0227821 0.0229329 0.0230367 0.0230936 0.0231044 0.0230704 0.0229935 
0.525328 0.0175291 0.0180697 0.0186025 0.0191237 0.0196294 0.0201155 0.020578 0.0210126 0.0214156 0.0217833 0.0221123 0.0223997 0.0226432 0.022841 0.0229918 0.0230952 0.0231513 0.0231608 0.0231252 0.0230463 
0.550344 0.0175589 0.0181026 0.0186385 0.0191629 0.0196716 0.0201607 0.0206259 0.0210631 0.0214684 0.0218381 0.0221688 0.0224575 0.0227019 0.0229001 0.023051 0.0231539 0.0232092 0.0232175 0.0231803 0.0230994 
0.57536 0.0175888 0.0181356 0.0186747 0.0192021 0.0197139 0.0202059 0.020674 0.0211138 0.0215214 0.0218932 0.0222255 0.0225156 0.0227608 0.0229595 0.0231104 0.023213 0.0232673 0.0232744 0.0232355 0.0231527 
0.600375 0.0176187 0.0181687 0.0187109 0.0192415 0.0197564 0.0202514 0.0207222 0.0211647 0.0215747 0.0219484 0.0222825 0.0225739 0.02282 0.0230192 0.0231701 0.0232722 0.0233258 0.0233315 0.023291 0.0232061 
0.625391 0.0176487 0.0182018 0.0187472 0.019281 0.019799 0.020297 0.0207706 0.0212157 0.0216281 0.022004 0.0223397 0.0226324 0.0228795 0.0230791 0.02323 0.0233317 0.0233844 0.0233889 0.0233466 0.0232598 
0.650407 0.0176787 0.018235 0.0187836 0.0193206 0.0198417 0.0203427 0.0208192 0.021267 0.0216818 0.0220597 0.0223972 0.0226912 0.0229392 0.0231393 0.0232902 0.0233915 0.0234433 0.0234464 0.0234025 0.0233136 
0.675422 0.0177088 0.0182683 0.0188201 0.0193603 0.0198846 0.0203886 0.020868 0.0213184 0.0217356 0.0221156 0.0224549 0.0227503 0.0229992 0.0231997 0.0233507 0.0234515 0.0235024 0.0235042 0.0234586 0.0233676 
0.700438 0.017739 0.0183016 0.0188567 0.0194001 0.0199275 0.0204347 0.020917 0.0213701 0.0217897 0.0221718 0.0225128 0.0228096 0.0230594 0.0232604 0.0234114 0.0235118 0.0235617 0.0235623 0.0235149 0.0234218 
