T 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
0 0.680766 0.633821 0.583875 0.531599 0.481669 0.431493 0.378578 0.323215 0.265722 0.20645 0.146097 0.0850994 0.0228788 0.041551 0.103552 0.164136 0.224429 0.283224 0.340136 0.394822 
0.0250156 0.681916 0.63496 0.584986 0.532664 0.482678 0.432434 0.379432 0.323965 0.266354 0.206951 0.146456 0.0853104 0.0229357 0.0416544 0.103808 0.164538 0.22497 0.283893 0.340919 0.395704 
0.0500313 0.683068 0.636104 0.586101 0.533732 0.483691 0.433378 0.380289 0.324718 0.266988 0.207453 0.146816 0.0855223 0.022993 0.0417582 0.104065 0.164942 0.225513 0.284564 0.341705 0.396588 
0.0750469 0.684223 0.63725 0.587219 0.534804 0.484707 0.434325 0.38115 0.325475 0.267625 0.207958 0.147179 0.0857352 0.0230504 0.0418625 0.104323 0.165347 0.226059 0.285239 0.342494 0.397476 
0.100063 0.68538 0.638399 0.58834 0.535879 0.485727 0.435276 0.382014 0.326235 0.268265 0.208464 0.147542 0.0859491 0.0231082 0.0419673 0.104583 0.165754 0.226607 0.285916 0.343287 0.398368 
0.125078 0.68654 0.639551 0.589465 0.536958 0.48675 0.436231 0.382881 0.326997 0.268908 0.208974 0.147908 0.086164 0.0231662 0.0420725 0.104844 0.166163 0.227157 0.286596 0.344082 0.399263 
0.150094 0.687703 0.640706 0.590593 0.53804 0.487777 0.437189 0.383752 0.327763 0.269553 0.209485 0.148275 0.0863798 0.0232244 0.0421783 0.105106 0.166574 0.22771 0.287279 0.344881 0.400162 
0.175109 0.688869 0.641865 0.591725 0.539125 0.488807 0.43815 0.384626 0.328532 0.270201 0.209998 0.148644 0.0865965 0.023283 0.0422845 0.105369 0.166986 0.228265 0.287965 0.345683 0.401064 
0.200125 0.690037 0.643026 0.592859 0.540214 0.489841 0.439116 0.385503 0.329305 0.270852 0.210514 0.149014 0.0868143 0.0233418 0.0423912 0.105633 0.167401 0.228822 0.288653 0.346489 0.401969 
0.225141 0.691207 0.64419 0.593997 0.541307 0.490879 0.440084 0.386384 0.33008 0.271506 0.211032 0.149386 0.087033 0.0234008 0.0424984 0.105899 0.167817 0.229382 0.289345 0.347297 0.402878 
0.250156 0.69238 0.645357 0.595138 0.542403 0.49192 0.441057 0.387269 0.330858 0.272162 0.211552 0.149759 0.0872527 0.0234602 0.042606 0.106166 0.168235 0.229944 0.290039 0.348109 0.40379 
0.275172 0.693556 0.646527 0.596283 0.543502 0.492965 0.442032 0.388156 0.33164 0.272821 0.212075 0.150135 0.0874734 0.0235197 0.0427142 0.106433 0.168655 0.230509 0.290737 0.348924 0.404706 
0.300188 0.694734 0.647699 0.59743 0.544604 0.494013 0.443012 0.389047 0.332425 0.273483 0.2126 0.150512 0.0876951 0.0235796 0.0428228 0.106703 0.169076 0.231076 0.291437 0.349742 0.405625 
0.325203 0.695914 0.648875 0.598581 0.54571 0.495064 0.443994 0.389942 0.333213 0.274148 0.213126 0.15089 0.0879177 0.0236397 0.0429319 0.106973 0.1695 0.231646 0.29214 0.350564 0.406548 
0.350219 0.697097 0.650053 0.599735 0.54682 0.496119 0.444981 0.39084 0.334004 0.274815 0.213656 0.15127 0.0881414 0.0237001 0.0430415 0.107244 0.169925 0.232218 0.292846 0.351388 0.407474 
0.375235 0.698282 0.651235 0.600891 0.547932 0.497178 0.44597 0.391741 0.334798 0.275485 0.214187 0.151652 0.088366 0.0237608 0.0431515 0.107517 0.170352 0.232792 0.293555 0.352216 0.408404 
