T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
0 0.00576897 0.00824793 0.0119049 0.0165845 0.0215023 0.0193078 0.0162 0.0135318 0.0115768 0.0066888 0.00927281 0.0130405 0.0178365 0.0230041 0.020943 0.0179744 0.0154509 0.0136464 
0.0250156 0.0057626 0.00824496 0.011913 0.0166155 0.0215524 0.0193317 0.0162014 0.013521 0.0115605 0.00667566 0.00926229 0.0130402 0.0178583 0.0230432 0.0209549 0.0179627 0.015426 0.0136149 
0.0500313 0.00575622 0.00824196 0.0119211 0.0166466 0.0216026 0.0193556 0.0162028 0.0135102 0.0115443 0.00666255 0.0092518 0.01304 0.0178802 0.0230824 0.0209669 0.0179511 0.0154012 0.0135836 
0.0750469 0.00574981 0.00823892 0.011929 0.0166777 0.021653 0.0193795 0.016204 0.0134993 0.011528 0.00664948 0.00924132 0.0130397 0.0179022 0.0231219 0.0209789 0.0179395 0.0153764 0.0135523 
0.100063 0.0057434 0.00823583 0.011937 0.0167088 0.0217036 0.0194034 0.0162052 0.0134884 0.0115118 0.00663644 0.00923086 0.0130395 0.0179244 0.0231616 0.020991 0.0179279 0.0153517 0.0135211 
0.125078 0.00573696 0.00823271 0.0119449 0.01674 0.0217543 0.0194272 0.0162063 0.0134774 0.0114955 0.00662343 0.00922041 0.0130393 0.0179466 0.0232016 0.0210032 0.0179163 0.015327 0.01349 
0.150094 0.00573051 0.00822954 0.0119527 0.0167713 0.0218051 0.019451 0.0162073 0.0134664 0.0114791 0.00661046 0.00920998 0.0130391 0.017969 0.0232418 0.0210154 0.0179048 0.0153024 0.013459 
0.175109 0.00572404 0.00822633 0.0119606 0.0168026 0.0218561 0.0194748 0.0162083 0.0134553 0.0114628 0.00659752 0.00919957 0.0130389 0.0179915 0.0232823 0.0210276 0.0178932 0.0152778 0.0134281 
0.200125 0.00571755 0.00822308 0.0119683 0.0168339 0.0219073 0.0194985 0.0162091 0.0134442 0.0114465 0.00658461 0.00918916 0.0130388 0.0180141 0.0233229 0.02104 0.0178817 0.0152532 0.0133973 
0.225141 0.00571104 0.00821979 0.011976 0.0168653 0.0219586 0.0195222 0.0162099 0.013433 0.0114301 0.00657174 0.00917878 0.0130386 0.0180368 0.0233638 0.0210524 0.0178702 0.0152288 0.0133666 
0.250156 0.00570452 0.00821646 0.0119837 0.0168967 0.02201 0.0195459 0.0162106 0.0134217 0.0114137 0.00655889 0.0091684 0.0130385 0.0180596 0.023405 0.0210648 0.0178587 0.0152043 0.013336 
0.275172 0.00569798 0.00821309 0.0119913 0.0169282 0.0220616 0.0195696 0.0162112 0.0134104 0.0113973 0.00654608 0.00915804 0.0130383 0.0180825 0.0234463 0.0210773 0.0178472 0.0151799 0.0133055 
0.300188 0.00569142 0.00820967 0.0119989 0.0169597 0.0221134 0.0195932 0.0162117 0.0133991 0.0113809 0.0065333 0.00914769 0.0130382 0.0181056 0.023488 0.0210899 0.0178357 0.0151556 0.0132751 
0.325203 0.00568485 0.00820622 0.0120064 0.0169913 0.0221653 0.0196168 0.0162122 0.0133877 0.0113644 0.00652055 0.00913735 0.0130381 0.0181287 0.0235298 0.0211025 0.0178242 0.0151313 0.0132448 
0.350219 0.00567826 0.00820272 0.0120138 0.0170229 0.0222174 0.0196403 0.0162125 0.0133762 0.011348 0.00650783 0.00912702 0.013038 0.018152 0.0235718 0.0211151 0.0178128 0.015107 0.0132145 
0.375235 0.00567165 0.00819918 0.0120212 0.0170545 0.0222696 0.0196638 0.0162128 0.0133647 0.0113315 0.00649514 0.00911671 0.0130379 0.0181754 0.0236141 0.0211278 0.0178013 0.0150828 0.0131843 
0.40025 0.00566503 0.0081956 0.0120286 0.0170862 0.022322 0.0196873 0.016213 0.0133531 0.011315 0.00648248 0.0091064 0.0130378 0.0181988 0.0236566 0.0211405 0.0177898 0.0150586 0.0131543 
0.425266 0.00565839 0.00819197 0.0120359 0.0171179 0.0223745 0.0197107 0.0162131 0.0133414 0.0112985 0.00646985 0.0090961 0.0130377 0.0182224 0.0236994 0.0211533 0.0177784 0.0150345 0.0131243 
0.450281 0.00565173 0.00818831 0.0120432 0.0171497 0.0224272 0.0197341 0.0162131 0.0133297 0.011282 0.00645725 0.00908582 0.0130376 0.0182461 0.0237424 0.0211661 0.0177669 0.0150104 0.0130944 
0.475297 0.00564506 0.0081846 0.0120504 0.0171814 0.02248 0.0197574 0.016213 0.013318 0.0112654 0.00644468 0.00907554 0.0130376 0.0182698 0.0237855 0.021179 0.0177555 0.0149864 0.0130646 
0.500313 0.00563836 0.00818085 0.0120575 0.0172133 0.022533 0.0197808 0.0162128 0.0133062 0.0112489 0.00643214 0.00906527 0.0130375 0.0182937 0.023829 0.0211919 0.017744 0.0149624 0.0130349 
0.525328 0.00563166 0.00817705 0.0120646 0.0172452 0.0225861 0.019804 0.0162126 0.0132943 0.0112323 0.00641962 0.00905501 0.0130374 0.0183177 0.0238726 0.0212048 0.0177326 0.0149384 0.0130052 
0.550344 0.00562493 0.00817322 0.0120716 0.0172771 0.0226393 0.0198272 0.0162122 0.0132824 0.0112157 0.00640714 0.00904475 0.0130373 0.0183417 0.0239165 0.0212178 0.0177211 0.0149144 0.0129757 
0.57536 0.00561819 0.00816934 0.0120786 0.017309 0.0226928 0.0198504 0.0162118 0.0132705 0.0111991 0.00639468 0.0090345 0.0130372 0.0183659 0.0239605 0.0212308 0.0177096 0.0148906 0.0129462 
0.600375 0.00561144 0.00816542 0.0120855 0.017341 0.0227463 0.0198735 0.0162113 0.0132585 0.0111825 0.00638225 0.00902426 0.0130372 0.0183902 0.0240049 0.0212439 0.0176982 0.0148667 0.0129168 
0.625391 0.00560466 0.00816146 0.0120924 0.017373 0.0228001 0.0198966 0.0162107 0.0132464 0.0111658 0.00636984 0.00901403 0.0130371 0.0184145 0.0240494 0.0212569 0.0176867 0.0148429 0.0128875 
0.650407 0.00559788 0.00815746 0.0120992 0.0174051 0.0228539 0.0199197 0.01621 0.0132343 0.0111492 0.00635747 0.0090038 0.013037 0.018439 0.0240941 0.02127 0.0176752 0.0148191 0.0128583 
