T 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 
0 0.0169159 0.0192037 0.0209805 0.0214688 0.0215487 0.0216572 0.021807 0.0219177 0.0218998 0.0180207 0.0203616 0.0221929 0.0227033 0.0227877 0.0229029 0.0230639 0.0231859 0.023225 
0.0250156 0.0169445 0.0192455 0.021032 0.0215222 0.0216024 0.021711 0.0218609 0.0219713 0.021947 0.0180542 0.0204087 0.02225 0.0227623 0.022847 0.0229624 0.0231235 0.0232452 0.0232781 
0.0500313 0.0169731 0.0192875 0.0210838 0.0215759 0.0216563 0.0217652 0.0219151 0.0220252 0.0219943 0.0180879 0.020456 0.0223073 0.0228217 0.0229065 0.0230222 0.0231834 0.0233049 0.0233315 
0.0750469 0.0170018 0.0193297 0.0211358 0.0216298 0.0217104 0.0218195 0.0219695 0.0220793 0.0220418 0.0181216 0.0205034 0.0223648 0.0228812 0.0229663 0.0230822 0.0232436 0.0233648 0.0233851 
0.100063 0.0170306 0.019372 0.0211881 0.021684 0.0217648 0.0218741 0.0220242 0.0221337 0.0220895 0.0181555 0.0205511 0.0224226 0.0229411 0.0230264 0.0231426 0.023304 0.023425 0.0234389 
0.125078 0.0170594 0.0194145 0.0212406 0.0217384 0.0218194 0.021929 0.0220791 0.0221883 0.0221374 0.0181894 0.0205989 0.0224807 0.0230012 0.0230868 0.0232032 0.0233648 0.0234855 0.0234928 
0.150094 0.0170883 0.0194572 0.0212933 0.0217931 0.0218743 0.0219841 0.0221343 0.0222432 0.0221854 0.0182234 0.020647 0.0225391 0.0230616 0.0231475 0.0232641 0.0234258 0.0235462 0.023547 
0.175109 0.0171173 0.0195 0.0213462 0.021848 0.0219295 0.0220395 0.0221897 0.0222982 0.0222336 0.0182575 0.0206952 0.0225977 0.0231223 0.0232084 0.0233253 0.0234871 0.0236072 0.0236014 
0.200125 0.0171463 0.0195429 0.0213994 0.0219032 0.0219849 0.0220951 0.0222454 0.0223536 0.022282 0.0182918 0.0207435 0.0226565 0.0231833 0.0232696 0.0233867 0.0235486 0.0236685 0.023656 
0.225141 0.0171754 0.019586 0.0214528 0.0219586 0.0220405 0.0221509 0.0223013 0.0224092 0.0223306 0.018326 0.0207921 0.0227157 0.0232445 0.0233311 0.0234485 0.0236105 0.0237301 0.0237108 
0.250156 0.0172045 0.0196293 0.0215065 0.0220143 0.0220964 0.0222071 0.0223575 0.022465 0.0223793 0.0183604 0.0208409 0.0227751 0.0233061 0.0233928 0.0235105 0.0236726 0.0237919 0.0237658 
