T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
0 0.00601245 0.00851922 0.0122055 0.0169159 0.0218998 0.0197406 0.0166697 0.0140398 0.0121246 0.00628299 0.00882065 0.0125395 0.0172842 0.0223416 0.0202216 0.0171916 0.0146042 0.0127333 
0.0250156 0.00600429 0.00851426 0.0122114 0.0169445 0.021947 0.0197614 0.0166677 0.0140253 0.0121043 0.00627606 0.00881706 0.0125469 0.0173144 0.0223907 0.0202445 0.0171919 0.0145923 0.0127158 
0.0500313 0.00599613 0.00850927 0.0122172 0.0169731 0.0219943 0.0197821 0.0166656 0.0140108 0.0120841 0.00626912 0.00881344 0.0125543 0.0173447 0.0224401 0.0202675 0.0171922 0.0145803 0.0126983 
0.0750469 0.00598796 0.00850426 0.0122231 0.0170018 0.0220418 0.0198029 0.0166634 0.0139962 0.0120639 0.00626219 0.00880981 0.0125616 0.0173751 0.0224896 0.0202904 0.0171924 0.0145684 0.0126809 
0.100063 0.00597979 0.00849922 0.0122288 0.0170306 0.0220895 0.0198236 0.0166612 0.0139816 0.0120436 0.00625527 0.00880616 0.0125689 0.0174056 0.0225393 0.0203134 0.0171926 0.0145564 0.0126635 
0.125078 0.00597161 0.00849416 0.0122346 0.0170594 0.0221374 0.0198444 0.016659 0.013967 0.0120234 0.00624834 0.00880249 0.0125762 0.0174361 0.0225892 0.0203363 0.0171928 0.0145444 0.0126461 
0.150094 0.00596344 0.00848907 0.0122403 0.0170883 0.0221854 0.0198651 0.0166567 0.0139524 0.0120032 0.00624142 0.0087988 0.0125835 0.0174667 0.0226393 0.0203593 0.0171929 0.0145324 0.0126287 
0.175109 0.00595525 0.00848395 0.012246 0.0171173 0.0222336 0.0198858 0.0166543 0.0139377 0.011983 0.0062345 0.00879509 0.0125908 0.0174974 0.0226895 0.0203823 0.017193 0.0145204 0.0126114 
0.200125 0.00594706 0.00847881 0.0122517 0.0171463 0.022282 0.0199066 0.0166519 0.0139231 0.0119629 0.00622758 0.00879136 0.012598 0.0175281 0.02274 0.0204053 0.017193 0.0145083 0.012594 
0.225141 0.00593887 0.00847364 0.0122573 0.0171754 0.0223306 0.0199273 0.0166494 0.0139083 0.0119427 0.00622067 0.00878762 0.0126052 0.0175589 0.0227906 0.0204282 0.017193 0.0144963 0.0125767 
0.250156 0.00593068 0.00846845 0.0122629 0.0172045 0.0223793 0.019948 0.0166469 0.0138936 0.0119226 0.00621375 0.00878385 0.0126124 0.0175898 0.0228415 0.0204512 0.0171929 0.0144842 0.0125595 
0.275172 0.00592248 0.00846322 0.0122685 0.0172337 0.0224282 0.0199687 0.0166443 0.0138788 0.0119024 0.00620684 0.00878006 0.0126195 0.0176208 0.0228925 0.0204742 0.0171928 0.0144721 0.0125422 
0.300188 0.00591427 0.00845797 0.012274 0.017263 0.0224773 0.0199894 0.0166416 0.013864 0.0118823 0.00619993 0.00877625 0.0126267 0.0176518 0.0229437 0.0204972 0.0171926 0.01446 0.012525 
0.325203 0.00590607 0.00845269 0.0122795 0.0172924 0.0225265 0.02001 0.0166389 0.0138492 0.0118622 0.00619303 0.00877243 0.0126338 0.0176829 0.022995 0.0205202 0.0171924 0.0144479 0.0125078 
0.350219 0.00589785 0.00844739 0.0122849 0.0173217 0.0225759 0.0200307 0.0166361 0.0138343 0.0118421 0.00618612 0.00876858 0.0126408 0.0177141 0.0230466 0.0205432 0.0171922 0.0144358 0.0124907 
0.375235 0.00588963 0.00844205 0.0122904 0.0173512 0.0226255 0.0200513 0.0166333 0.0138195 0.011822 0.00617922 0.00876471 0.0126479 0.0177454 0.0230983 0.0205662 0.0171919 0.0144237 0.0124735 
0.40025 0.00588141 0.00843669 0.0122957 0.0173807 0.0226753 0.020072 0.0166304 0.0138045 0.0118019 0.00617232 0.00876082 0.0126549 0.0177767 0.0231502 0.0205891 0.0171915 0.0144115 0.0124564 
0.425266 0.00587319 0.0084313 0.0123011 0.0174103 0.0227252 0.0200926 0.0166274 0.0137896 0.0117818 0.00616543 0.00875691 0.0126619 0.017808 0.0232023 0.0206121 0.0171911 0.0143993 0.0124393 
0.450281 0.00586496 0.00842588 0.0123064 0.0174399 0.0227753 0.0201132 0.0166244 0.0137746 0.0117617 0.00615853 0.00875298 0.0126688 0.0178395 0.0232546 0.0206351 0.0171907 0.0143872 0.0124223 
0.475297 0.00585672 0.00842043 0.0123117 0.0174695 0.0228256 0.0201337 0.0166213 0.0137596 0.0117417 0.00615164 0.00874903 0.0126758 0.017871 0.0233071 0.020658 0.0171902 0.014375 0.0124052 
0.500313 0.00584848 0.00841496 0.0123169 0.0174993 0.022876 0.0201543 0.0166181 0.0137446 0.0117216 0.00614475 0.00874506 0.0126827 0.0179025 0.0233597 0.020681 0.0171896 0.0143627 0.0123882 
0.525328 0.00584024 0.00840945 0.0123221 0.0175291 0.0229266 0.0201748 0.0166149 0.0137295 0.0117016 0.00613786 0.00874107 0.0126895 0.0179342 0.0234126 0.0207039 0.017189 0.0143505 0.0123713 
0.550344 0.00583199 0.00840392 0.0123273 0.0175589 0.0229774 0.0201953 0.0166116 0.0137144 0.0116816 0.00613098 0.00873705 0.0126964 0.0179659 0.0234656 0.0207269 0.0171884 0.0143383 0.0123543 
0.57536 0.00582373 0.00839836 0.0123324 0.0175888 0.0230284 0.0202158 0.0166083 0.0136993 0.0116616 0.00612409 0.00873302 0.0127032 0.0179976 0.0235188 0.0207498 0.0171877 0.014326 0.0123374 
0.600375 0.00581547 0.00839276 0.0123374 0.0176187 0.0230795 0.0202363 0.0166049 0.0136842 0.0116416 0.00611721 0.00872896 0.01271 0.0180294 0.0235721 0.0207727 0.0171869 0.0143137 0.0123205 
0.625391 0.00580721 0.00838714 0.0123425 0.0176487 0.0231308 0.0202567 0.0166014 0.013669 0.0116216 0.00611034 0.00872488 0.0127167 0.0180613 0.0236257 0.0207956 0.0171861 0.0143014 0.0123036 
0.650407 0.00579894 0.00838149 0.0123474 0.0176787 0.0231822 0.0202771 0.0165978 0.0136538 0.0116016 0.00610346 0.00872078 0.0127234 0.0180932 0.0236794 0.0208185 0.0171852 0.0142891 0.0122868 
0.675422 0.00579067 0.00837581 0.0123524 0.0177088 0.0232338 0.0202975 0.0165942 0.0136385 0.0115816 0.00609659 0.00871666 0.0127301 0.0181252 0.0237333 0.0208413 0.0171843 0.0142768 0.0122699 
0.700438 0.00578239 0.0083701 0.0123573 0.017739 0.0232856 0.0203178 0.0165905 0.0136233 0.0115617 0.00608972 0.00871251 0.0127367 0.0181573 0.0237874 0.0208642 0.0171833 0.0142645 0.0122531 
0.725453 0.00577411 0.00836436 0.0123621 0.0177692 0.0233376 0.0203382 0.0165868 0.013608 0.0115417 0.00608285 0.00870835 0.0127433 0.0181894 0.0238416 0.020887 0.0171823 0.0142521 0.0122364 
0.750469 0.00576582 0.00835858 0.012367 0.0177994 0.0233897 0.0203584 0.0165829 0.0135926 0.0115218 0.00607598 0.00870416 0.0127499 0.0182215 0.0238961 0.0209098 0.0171812 0.0142398 0.0122196 
