T 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 
0 0.0167137 0.0189674 0.0207187 0.0212005 0.0212794 0.0213866 0.0215347 0.0216444 0.0216308 0.00688247 0.00779404 0.00850466 0.00870136 0.00873374 0.00877779 0.00883903 0.00888488 0.00888923 
0.0250156 0.0171905 0.0195176 0.0213254 0.0218219 0.0219032 0.0220134 0.0221656 0.0222779 0.0222576 0.00658756 0.00746389 0.00814676 0.00833546 0.00836648 0.00840866 0.0084672 0.00851089 0.00851246 
0.0500313 0.0175035 0.0198819 0.021729 0.0222356 0.0223184 0.0224306 0.0225854 0.0226993 0.0226725 0.00673164 0.0076293 0.00832874 0.00852184 0.00855356 0.00859666 0.00865643 0.00870095 0.00870097 
0.0750469 0.0173934 0.0197674 0.0216103 0.0221149 0.0221973 0.0223089 0.0224624 0.0225751 0.0225413 0.00654332 0.00741994 0.00810268 0.00829083 0.0083217 0.00836361 0.00842163 0.0084647 0.00846195 
0.100063 0.0169132 0.0192319 0.0210313 0.0215231 0.0216033 0.0217119 0.021861 0.02197 0.0219301 0.00675899 0.00766973 0.0083786 0.00857353 0.00860545 0.00864877 0.0087086 0.00875283 0.00874653 
0.125078 0.0173352 0.0197206 0.0215711 0.0220762 0.0221585 0.0222698 0.0224225 0.0225337 0.0224867 0.00687644 0.00780589 0.0085292 0.00872786 0.00876036 0.00880444 0.00886525 0.00891009 0.00890162 
0.150094 0.0174024 0.0198071 0.021672 0.0221802 0.0222629 0.0223747 0.0225277 0.0226389 0.0225848 0.0067875 0.00770875 0.00842544 0.00862197 0.00865408 0.0086976 0.00875755 0.00880162 0.00879062 
0.175109 0.0175334 0.0199659 0.0218518 0.0223649 0.0224483 0.0225609 0.022715 0.0228265 0.0227652 0.00688966 0.00782828 0.00855829 0.00875819 0.00879081 0.008835 0.00889577 0.00894032 0.00892671 
0.200125 0.0173564 0.0197754 0.0216502 0.0221594 0.022242 0.0223536 0.0225058 0.0226156 0.0225474 0.00659101 0.00749374 0.00819546 0.00838723 0.00841848 0.00846077 0.00851882 0.00856119 0.00854495 
0.225141 0.0173615 0.0197901 0.021672 0.0221824 0.0222652 0.0223767 0.0225288 0.0226382 0.0225637 0.00716091 0.00814561 0.00891082 0.00911963 0.00915361 0.00919957 0.00926256 0.00930839 0.00928802 
0.250156 0.017239 0.0196614 0.0215377 0.0220458 0.022128 0.0222388 0.0223897 0.0224977 0.0224162 0.00697326 0.00793628 0.0086844 0.00888821 0.00892134 0.0089661 0.00902736 0.00907178 0.00904909 
0.275172 0.017121 0.0195373 0.0214083 0.0219141 0.0219959 0.022106 0.0222556 0.0223623 0.0222742 0.00692984 0.00789055 0.00863668 0.00883965 0.0088726 0.0089171 0.00897789 0.00902184 0.00899672 
0.300188 0.0178464 0.020374 0.0223308 0.0228591 0.0229444 0.0230592 0.0232149 0.0233257 0.0232275 0.00693371 0.00789854 0.0086477 0.0088512 0.0088842 0.00892873 0.00898949 0.00903327 0.0090056 
0.325203 0.017179 0.0196234 0.0215151 0.022025 0.0221072 0.0222177 0.0223674 0.0224734 0.0223711 0.00713831 0.00813771 0.00891322 0.00912341 0.00915744 0.0092033 0.00926574 0.00931051 0.00927795 
0.350219 0.0174405 0.0199328 0.021861 0.0223799 0.0224634 0.0225757 0.0227274 0.0228345 0.0227232 0.00675314 0.00770277 0.00843944 0.00863876 0.00867099 0.00871439 0.00877337 0.00881551 0.00878183 
0.375235 0.0174844 0.019993 0.0219333 0.0224547 0.0225385 0.0226511 0.022803 0.0229098 0.0227912 0.00697664 0.00796126 0.00872492 0.00893126 0.00896459 0.00900944 0.00907029 0.00911363 0.0090763 
0.40025 0.0174909 0.020011 0.0219597 0.0224824 0.0225664 0.022679 0.0228308 0.0229371 0.022811 0.00702008 0.0080146 0.00878578 0.00899385 0.00902741 0.00907255 0.00913371 0.00917711 0.00913688 
0.425266 0.0174536 0.0199791 0.0219316 0.0224545 0.0225383 0.0226508 0.022802 0.0229075 0.0227741 0.00694312 0.00793196 0.00869839 0.00890477 0.00893801 0.00898268 0.00904306 0.00908572 0.00904237 
0.450281 0.0176799 0.0202484 0.0222336 0.0227645 0.0228496 0.0229635 0.0231164 0.0232228 0.0230804 0.00701946 0.00802233 0.00879955 0.00900859 0.00904223 0.00908739 0.00914837 0.00919132 0.00914518 
0.475297 0.0178457 0.0204494 0.0224614 0.0229985 0.0230845 0.0231995 0.0233536 0.0234604 0.0233089 0.00673895 0.00770657 0.00845618 0.00865742 0.00868975 0.00873312 0.00879157 0.00883255 0.00878494 
0.500313 0.0178477 0.0204629 0.0224831 0.0230216 0.0231077 0.0232228 0.0233767 0.0234829 0.0233235 0.0067232 0.00769249 0.00844323 0.00864446 0.00867675 0.00872003 0.00877825 0.00881893 0.00876865 
0.525328 0.0178686 0.0204973 0.0225276 0.023068 0.0231542 0.0232695 0.0234233 0.0235291 0.0233621 0.00704353 0.00806396 0.00885404 0.00906543 0.0090993 0.00914467 0.00920556 0.00924792 0.00919181 
0.550344 0.0176251 0.0202294 0.0222404 0.0227747 0.0228599 0.0229736 0.0231251 0.0232288 0.0230561 0.00711109 0.00814598 0.00894702 0.00916098 0.00919522 0.00924103 0.00930241 0.00934493 0.00928502 
0.57536 0.0178381 0.0204846 0.0225277 0.0230698 0.0231561 0.0232712 0.0234244 0.0235287 0.0233463 0.00716672 0.00821283 0.00902252 0.00923855 0.00927308 0.00931926 0.00938105 0.00942371 0.00936101 
0.600375 0.0177817 0.020431 0.0224759 0.0230176 0.0231038 0.0232185 0.0233709 0.0234744 0.0232846 0.00723646 0.00829801 0.00911939 0.00933812 0.00937304 0.00941968 0.00948196 0.00952477 0.00945779 
0.625391 0.0181528 0.0208686 0.0229644 0.0235188 0.0236068 0.023724 0.0238794 0.0239843 0.0237826 0.00699658 0.00802619 0.00882281 0.0090347 0.00906848 0.00911359 0.00917373 0.00921493 0.00914777 
0.650407 0.0179603 0.020659 0.0227411 0.023291 0.0233781 0.0234941 0.0236476 0.0237508 0.023543 0.00712463 0.00817934 0.00899498 0.00921146 0.00924591 0.00929187 0.00935299 0.00939462 0.00932196 
0.675422 0.0180705 0.0207969 0.0229001 0.0234547 0.0235425 0.0236592 0.0238134 0.0239166 0.0236995 0.00722647 0.00829961 0.00912949 0.00934948 0.00938446 0.00943108 0.00949299 0.00953502 0.00945882 
0.700438 0.0178215 0.0205223 0.0226053 0.0231537 0.0232404 0.0233555 0.0235073 0.0236085 0.0233859 0.00725827 0.00834058 0.00917739 0.00939889 0.00943405 0.00948089 0.00954298 0.00958495 0.00950524 
0.725453 0.0181294 0.020888 0.0230153 0.0235744 0.0236627 0.0237799 0.023934 0.0240363 0.0238019 0.00724406 0.00832881 0.00916736 0.00938897 0.0094241 0.00947087 0.00953274 0.00957437 0.00949156 
0.750469 0.0178551 0.020584 0.0226879 0.02324 0.0233271 0.0234425 0.0235941 0.0236942 0.0234548 0.00735136 0.00845847 0.00931396 0.00953958 0.00957529 0.00962276 0.00968542 0.00972735 0.00963896 
0.775485 0.0178297 0.0205669 0.0226768 0.0232295 0.0233166 0.0234319 0.023583 0.0236823 0.0234345 0.0071321 0.00821056 0.00904379 0.0092632 0.00929788 0.00934395 0.00940465 0.00944508 0.00935618 
0.8005 0.0179623 0.0207314 0.0228656 0.0234239 0.0235117 0.0236279 0.0237799 0.0238793 0.0236213 0.00711425 0.00819442 0.00902884 0.00924824 0.00928287 0.00932884 0.00938929 0.00942937 0.00933752 
0.825516 0.0180136 0.0208022 0.0229512 0.0235125 0.0236006 0.0237172 0.0238694 0.0239684 0.0237013 0.00721425 0.00831464 0.00916451 0.00938759 0.00942275 0.00946938 0.00953057 0.00957095 0.00947421 
0.850532 0.0179658 0.0207591 0.0229113 0.0234725 0.0235606 0.0236769 0.0238283 0.0239264 0.0236514 0.00720758 0.00831195 0.00916473 0.0093882 0.00942337 0.00946997 0.009531 0.00957106 0.00947085 
0.875547 0.0180581 0.0208781 0.0230506 0.0236162 0.0237047 0.0238217 0.0239737 0.0240716 0.0237862 0.00696632 0.00803895 0.00886701 0.00908361 0.00911765 0.00916271 0.00922158 0.00926002 0.00915947 
0.900563 0.0179287 0.0207405 0.0229063 0.0234693 0.0235574 0.0236735 0.0238241 0.0239207 0.0236287 0.00712914 0.00823127 0.00908202 0.00930423 0.00933911 0.00938523 0.00944538 0.00948446 0.00937833 
0.925578 0.0181536 0.0210123 0.0232141 0.0237855 0.0238748 0.0239924 0.0241447 0.0242418 0.0239377 0.00721549 0.00833554 0.00920003 0.00942548 0.00946082 0.00950752 0.00956829 0.00960759 0.00949685 
0.950594 0.0181114 0.020976 0.023182 0.0237537 0.0238428 0.0239602 0.0241119 0.024208 0.0238956 0.00714257 0.00825693 0.00911682 0.00934067 0.0093757 0.00942194 0.00948198 0.00952058 0.00940696 
0.97561 0.0178738 0.0207135 0.0229002 0.0234659 0.023554 0.0236699 0.0238192 0.0239134 0.0235959 0.00711517 0.00822964 0.00908955 0.00931307 0.00934801 0.00939408 0.00945379 0.00949199 0.0093756 
1.00063 0.0182603 0.0211725 0.0234149 0.0239942 0.0240843 0.0242028 0.0243551 0.0244506 0.024118 0.00743332 0.0086023 0.00950421 0.00973831 0.00977485 0.009823 0.00988527 0.00992491 0.00979987 
1.02564 0.0183813 0.021326 0.023593 0.0241778 0.0242686 0.0243878 0.0245408 0.0246363 0.024292 0.00709088 0.00821128 0.00907556 0.00929951 0.00933441 0.00938036 0.00943964 0.00947716 0.00935409 
1.05066 0.0185238 0.0215035 0.0237974 0.0243882 0.0244798 0.0246 0.0247539 0.0248495 0.0244935 0.00724227 0.00839113 0.00927732 0.00950661 0.0095423 0.00958924 0.00964968 0.00968774 0.00955869 
1.07567 0.0187637 0.0217941 0.024127 0.0247269 0.0248198 0.0249416 0.0250973 0.0251933 0.0248238 0.00746199 0.00865044 0.00956712 0.00980395 0.00984076 0.00988914 0.00995131 0.00999025 0.0098538 
1.10069 0.0182761 0.0212418 0.0235245 0.0241106 0.0242012 0.0243199 0.0244712 0.0245639 0.0241939 0.00735146 0.00852847 0.00943613 0.00967019 0.00970651 0.00975419 0.00981531 0.00985333 0.0097145 
1.1257 0.0184218 0.0214237 0.0237342 0.0243265 0.0244179 0.0245376 0.0246898 0.0247826 0.0244003 0.00738076 0.00856762 0.0094828 0.00971842 0.00975493 0.00980282 0.00986406 0.00990194 0.00975878 
1.15072 0.0184805 0.0215048 0.0238325 0.0244282 0.0245201 0.0246402 0.0247926 0.0248849 0.0244919 0.00741701 0.0086144 0.00953769 0.00977506 0.0098118 0.00985993 0.00992136 0.00995915 0.00981178 
1.17573 0.0183 0.0213088 0.0236242 0.0242158 0.0243069 0.0244259 0.0245764 0.0246671 0.0242678 0.00709078 0.00824167 0.00912892 0.00935659 0.00939176 0.0094378 0.00949639 0.00953218 0.00938688 
1.20075 0.0185596 0.0216233 0.0239809 0.0245825 0.024675 0.0247957 0.0249481 0.0250393 0.0246252 0.00735866 0.0085565 0.00948007 0.00971681 0.00975334 0.00980112 0.00986184 0.00989876 0.00974523 
1.22577 0.0186174 0.0217042 0.0240795 0.0246846 0.0247775 0.0248986 0.0250512 0.0251419 0.0247165 0.00717788 0.00835252 0.00925804 0.00948971 0.0095254 0.00957203 0.00963111 0.00966678 0.00951255 
1.25078 0.0188556 0.0219947 0.0244103 0.0250248 0.025119 0.0252417 0.0253959 0.025487 0.0250466 0.0073163 0.00851864 0.00944548 0.00968225 0.00971866 0.00976621 0.00982632 0.00986238 0.00970143 
1.2758 0.0187334 0.0218663 0.024277 0.0248893 0.024983 0.0251049 0.0252578 0.0253475 0.0248995 0.00717242 0.008357 0.00927004 0.00950287 0.00953862 0.00958525 0.00964404 0.00967906 0.009517 
1.30081 0.0188916 0.0220642 0.0245055 0.0251246 0.0252192 0.0253422 0.0254961 0.0255858 0.0251241 0.00724859 0.00844995 0.00937601 0.00961185 0.00964802 0.00969515 0.00975447 0.0097896 0.00962259 
1.32583 0.0185011 0.0216228 0.0240247 0.0246328 0.0247255 0.024846 0.0249964 0.0250834 0.0246205 0.0071233 0.00830964 0.00922404 0.00945651 0.00949211 0.00953844 0.0095966 0.0096308 0.00946246 
1.35084 0.0185043 0.02164 0.0240526 0.0246625 0.0247554 0.024876 0.0250261 0.0251123 0.0246393 0.00720058 0.00840441 0.00933234 0.00956792 0.00960395 0.0096508 0.00970947 0.00974376 0.00957009 
1.37586 0.0187764 0.0219716 0.0244302 0.0250507 0.0251451 0.0252675 0.0254195 0.0255061 0.0250161 0.0071018 0.00829508 0.00921479 0.00944788 0.00948346 0.00952968 0.00958742 0.0096209 0.00944525 
1.40088 0.0185826 0.0217584 0.0242021 0.0248179 0.0249115 0.0250326 0.0251827 0.0252677 0.0247725 0.00746372 0.00872375 0.00969486 0.00994056 0.00997801 0.0100266 0.0100871 0.010122 0.009933 
1.42589 0.0187809 0.0220046 0.0244852 0.0251094 0.0252041 0.0253265 0.0254779 0.0255629 0.025052 0.00724778 0.00847668 0.00942382 0.00966309 0.0096995 0.00974671 0.00980536 0.00983888 0.00965136 
1.45091 0.0185605 0.0217607 0.0242233 0.024842 0.0249357 0.0250567 0.025206 0.0252892 0.0247734 0.00722369 0.0084536 0.00940156 0.00964067 0.00967701 0.00972407 0.00978241 0.00981551 0.00962477 
1.47592 0.0184786 0.0216781 0.0241403 0.024758 0.0248514 0.0249719 0.0251202 0.0252022 0.0246786 0.00761642 0.0089186 0.00992231 0.0101751 0.0102135 0.0102631 0.0103245 0.0103591 0.0101539 
1.50094 0.0188248 0.022098 0.0246171 0.0252481 0.0253434 0.0254662 0.0256169 0.0256996 0.0251558 0.00750671 0.00879651 0.00979063 0.0100406 0.0100785 0.0101274 0.0101877 0.0102214 0.0100145 
1.52595 0.0183033 0.0215008 0.0239615 0.0245769 0.0246697 0.0247892 0.0249353 0.0250149 0.024475 0.0075232 0.00882169 0.00982253 0.0100738 0.0101118 0.0101608 0.0102212 0.0102546 0.0100428 
