T 18F 19F 20F 21F 22.2F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 22200F 23000F 24000F 25000F 26000F 27000F 
0 0.00596968 0.00844155 0.0120739 0.0167137 0.0212005 0.0216308 0.0195153 0.0165036 0.0139259 0.0120515 0.00253039 0.00353591 0.00500699 0.00688247 0.00870136 0.00888923 0.00806248 0.00687783 0.00586808 0.00514099 
0.0250156 0.00612303 0.0086641 0.0124041 0.0171905 0.0218219 0.0222576 0.0200598 0.0169456 0.0142874 0.012358 0.00241389 0.00337614 0.00478632 0.00658756 0.00833546 0.00851246 0.00771184 0.00657042 0.00560007 0.00490244 
0.0500313 0.00621942 0.00880504 0.0126166 0.0175035 0.0222356 0.0226725 0.0204135 0.0172273 0.0145152 0.0125504 0.00246603 0.00344786 0.00488848 0.00673164 0.00852184 0.00870097 0.00787803 0.00670982 0.00571971 0.00500974 
0.0750469 0.00615828 0.0087271 0.0125205 0.0173934 0.0221149 0.0225413 0.0202709 0.0170842 0.0143787 0.0124217 0.00238798 0.00334232 0.00474509 0.00654332 0.00829083 0.00846195 0.00765208 0.00650826 0.00554131 0.00484892 
0.100063 0.00596675 0.00846411 0.0121584 0.0169132 0.0215231 0.0219301 0.0196974 0.0165786 0.0139375 0.0120301 0.00245307 0.00343953 0.00489252 0.00675899 0.00857353 0.00874653 0.00789695 0.00670356 0.00569702 0.0049769 
0.125078 0.00610162 0.00865938 0.0124489 0.0173352 0.0220762 0.0224867 0.0201776 0.0169666 0.014255 0.0123003 0.0024924 0.00349491 0.00497361 0.00687644 0.00872786 0.00890162 0.0080306 0.00681257 0.00578822 0.00505699 
0.150094 0.00610596 0.00867256 0.0124816 0.0174024 0.0221802 0.0225848 0.0202425 0.0170006 0.01427 0.012305 0.00245284 0.00344198 0.00490336 0.0067875 0.00862197 0.00879062 0.00792167 0.00671238 0.0056981 0.00497529 
0.175109 0.00613475 0.0087192 0.0125609 0.0175334 0.0223649 0.0227652 0.0203823 0.0170991 0.0143411 0.0123599 0.00248403 0.00348735 0.00497199 0.00688966 0.00875819 0.00892671 0.00803639 0.00680309 0.00577153 0.00503783 
0.200125 0.00604958 0.00860748 0.0124165 0.0173564 0.0221594 0.0225474 0.0201616 0.01689 0.0141487 0.0121825 0.00236478 0.00332493 0.00474848 0.00659101 0.00838723 0.00854495 0.00768141 0.00649131 0.00549823 0.00479262 
0.225141 0.0060372 0.00859386 0.012407 0.0173615 0.0221824 0.0225637 0.0201559 0.0168689 0.0141222 0.0121558 0.00256239 0.00360495 0.00515319 0.00716091 0.00911963 0.00928802 0.0083405 0.00704074 0.00595911 0.00519198 
0.250156 0.00597296 0.00851085 0.0123026 0.017239 0.0220458 0.0224162 0.0199994 0.0167153 0.013978 0.0120213 0.00248726 0.00350212 0.00501178 0.00697326 0.00888821 0.00904909 0.00811649 0.00684322 0.00578638 0.00503805 
0.275172 0.00591188 0.00843143 0.0122023 0.017121 0.0219141 0.0222742 0.0198487 0.0165679 0.0138404 0.0118938 0.00246574 0.00347359 0.00497517 0.00692984 0.00883965 0.00899672 0.00806123 0.00678984 0.00573744 0.00499365 
0.300188 0.00614995 0.00877381 0.0127067 0.0178464 0.0228591 0.0232275 0.0206784 0.0172454 0.0143992 0.0123719 0.00246156 0.00346919 0.00497277 0.00693371 0.0088512 0.0090056 0.00806117 0.00678339 0.0057286 0.00498454 
0.325203 0.00589696 0.00842213 0.0122138 0.017179 0.022025 0.0223711 0.0198901 0.0165641 0.0138136 0.0118572 0.00251855 0.0035567 0.00510918 0.00713831 0.00912341 0.00927795 0.00829056 0.00696151 0.00586675 0.00509495 
0.350219 0.00596702 0.00852943 0.0123836 0.0174405 0.0223799 0.0227232 0.020179 0.0167835 0.0139827 0.0119939 0.00237468 0.00335646 0.00482714 0.00675314 0.00863876 0.00878183 0.00783777 0.0065729 0.00553368 0.00480218 
0.375235 0.00596529 0.00853244 0.0124 0.0174844 0.0224547 0.0227912 0.0202169 0.0167963 0.0139823 0.0119875 0.0024482 0.00346158 0.00498189 0.00697664 0.00893126 0.0090763 0.00809272 0.00678067 0.00570565 0.00495044 
0.40025 0.00594899 0.00851565 0.012389 0.0174909 0.0224824 0.022811 0.0202108 0.016771 0.0139485 0.0119511 0.00245764 0.00347653 0.00500751 0.00702008 0.00899385 0.00913688 0.00813834 0.00681222 0.00572862 0.00496881 
0.425266 0.0059166 0.00847651 0.0123462 0.0174536 0.0224545 0.0227741 0.0201536 0.0167023 0.0138776 0.0118819 0.00241895 0.00342683 0.00494421 0.00694312 0.00890477 0.00904237 0.00804208 0.00671998 0.0056422 0.00488729 
0.450281 0.00597691 0.00856815 0.0124916 0.0176799 0.0227645 0.0230804 0.020402 0.0168896 0.0140225 0.0120003 0.00244244 0.00346017 0.00499451 0.00701946 0.00900859 0.00914518 0.00812673 0.00678631 0.00569671 0.0049352 
0.475297 0.00601314 0.00862728 0.0125921 0.0178457 0.0229985 0.0233089 0.0205789 0.0170145 0.0141125 0.012069 0.00233463 0.00331163 0.00478734 0.00673895 0.00865742 0.00878494 0.00779557 0.00649943 0.00544835 0.00471464 
0.500313 0.0059946 0.00860752 0.0125772 0.0178477 0.0230216 0.0233235 0.020567 0.0169836 0.0140736 0.0120279 0.00232268 0.00329676 0.00477044 0.0067232 0.00864446 0.00876865 0.00777235 0.00647286 0.00542184 0.00468943 
0.525328 0.00598528 0.00859928 0.012577 0.0178686 0.023068 0.0233621 0.020578 0.0169741 0.0140551 0.0120066 0.00242324 0.00344357 0.00499005 0.00704353 0.00906543 0.00919181 0.00813613 0.00676547 0.00565956 0.0048899 
0.550344 0.00588331 0.00846038 0.0123887 0.0176251 0.0227747 0.0230561 0.0202829 0.0167086 0.0138209 0.0117976 0.00243786 0.00346754 0.00503093 0.00711109 0.00916098 0.00928502 0.00820815 0.0068162 0.00569596 0.0049175 
0.57536 0.00593767 0.00854394 0.0125232 0.0178381 0.0230698 0.0233463 0.0205146 0.0168805 0.0139522 0.0119039 0.00245462 0.00349092 0.00506649 0.00716672 0.00923855 0.00936101 0.00826875 0.00686271 0.00573441 0.00495216 
0.600375 0.00590013 0.00849651 0.0124673 0.0177817 0.0230176 0.0232846 0.0204355 0.0167947 0.0138684 0.0118249 0.00246786 0.00351408 0.00510769 0.00723646 0.00933812 0.00945779 0.00834232 0.00691285 0.00576851 0.00497614 
0.625391 0.00600533 0.008654 0.0127115 0.0181528 0.0235188 0.0237826 0.0208479 0.0171134 0.0141197 0.0120326 0.00238316 0.0033934 0.00493434 0.00699658 0.0090347 0.00914777 0.00806199 0.0066763 0.00557015 0.0048059 
0.650407 0.00592209 0.00854106 0.0125599 0.0179603 0.023291 0.023543 0.0206121 0.0168984 0.0139288 0.0118618 0.00241226 0.00344143 0.00501457 0.00712463 0.00921146 0.00932196 0.00820113 0.00677733 0.00564317 0.00486013 
0.675422 0.00594103 0.00857409 0.0126212 0.0180705 0.0234547 0.0236995 0.0207247 0.0169709 0.0139771 0.0118968 0.00244393 0.00348643 0.00508213 0.00722647 0.00934948 0.00945882 0.00831447 0.00686673 0.00571678 0.00492458 
0.700438 0.00583851 0.00843383 0.0124298 0.0178215 0.0231537 0.0233859 0.0204239 0.0167022 0.0137413 0.011687 0.00244783 0.00349411 0.00509824 0.00725827 0.00939889 0.00950524 0.00834553 0.00688463 0.00572728 0.00493138 
0.725453 0.00592288 0.00856085 0.0126291 0.0181294 0.0235744 0.0238019 0.020763 0.0169605 0.0139432 0.0118534 0.00243566 0.0034792 0.00508177 0.00724406 0.00938897 0.00949156 0.00832349 0.00685828 0.00570046 0.00490551 
0.750469 0.00581322 0.00840968 0.0124208 0.0178551 0.02324 0.0234548 0.0204338 0.0166695 0.0136901 0.0116297 0.00245794 0.00351716 0.00514715 0.00735136 0.00953958 0.00963896 0.00843844 0.00693927 0.00575722 0.00494632 
0.775485 0.00578441 0.00837564 0.0123856 0.0178297 0.0232295 0.0234345 0.0203894 0.0166109 0.0136276 0.0115676 0.0023781 0.00340492 0.00498759 0.0071321 0.0092632 0.00935618 0.00818138 0.00672045 0.00557151 0.00478462 
0.8005 0.00580969 0.00841819 0.0124616 0.0179623 0.0234239 0.0236213 0.0205267 0.0167026 0.0136911 0.0116151 0.00236563 0.00338904 0.00496902 0.00711425 0.00924824 0.00933752 0.00815549 0.00669172 0.00554357 0.0047586 
0.825516 0.00580877 0.00842264 0.0124811 0.0180136 0.0235125 0.0237013 0.020571 0.0167188 0.0136928 0.0116102 0.00239011 0.00342737 0.00503156 0.00721425 0.00938759 0.00947421 0.00826376 0.00677114 0.00560323 0.00480588 
0.850532 0.00577429 0.00837936 0.012431 0.0179658 0.0234725 0.0236514 0.0205015 0.0166409 0.0136161 0.0115376 0.00237945 0.00341516 0.00501975 0.00720758 0.0093882 0.00947085 0.00824986 0.00675059 0.00558039 0.00478266 
0.875547 0.00578434 0.00840099 0.0124776 0.0180581 0.0236162 0.0237862 0.0205916 0.0166922 0.0136447 0.0115537 0.00229021 0.00329091 0.00484407 0.00696632 0.00908361 0.00915947 0.00796709 0.00650914 0.00537388 0.00460093 
0.900563 0.0057245 0.00832041 0.0123715 0.0179287 0.0234693 0.0236287 0.0204292 0.0165399 0.0135078 0.0114307 0.00233759 0.00336074 0.00495132 0.00712914 0.00930423 0.00937833 0.00814794 0.00664971 0.00548614 0.00469531 
0.925578 0.00578008 0.00840618 0.0125111 0.0181536 0.0237855 0.0239377 0.0206714 0.016717 0.0136421 0.0115393 0.00235937 0.00339403 0.00500509 0.00721549 0.00942548 0.00949685 0.00824108 0.0067182 0.00553852 0.00473808 
0.950594 0.00574727 0.00836535 0.0124647 0.0181114 0.0237537 0.0238956 0.020608 0.016644 0.0135694 0.01147 0.00232505 0.00334894 0.00494624 0.00714257 0.00934067 0.00940696 0.00815066 0.00663355 0.00546108 0.0046665 
0.97561 0.00565149 0.00823349 0.0122833 0.0178738 0.0234659 0.0235959 0.0203219 0.0163905 0.0133485 0.0112745 0.00231042 0.00332939 0.00492151 0.00711517 0.00931307 0.0093756 0.00811417 0.00659705 0.00542763 0.0046365 
1.00063 0.00576043 0.00839537 0.0125347 0.0182603 0.0239942 0.024118 0.0207483 0.0167179 0.0136075 0.0114907 0.00240748 0.00347099 0.00513536 0.00743332 0.00973831 0.00979987 0.00847138 0.00688009 0.0056567 0.0048305 
1.02564 0.00577844 0.00842891 0.0125998 0.0183813 0.0241778 0.024292 0.0208699 0.0167933 0.0136551 0.0115226 0.00228768 0.00330165 0.00489132 0.00709088 0.00929951 0.00935409 0.00807458 0.00654825 0.00537762 0.00458811 
1.05066 0.00580657 0.00847509 0.0126812 0.0185238 0.0243882 0.0244935 0.021017 0.0168921 0.0137248 0.0115762 0.00233073 0.00336531 0.00498984 0.00724227 0.00950661 0.00955869 0.0082416 0.00667676 0.00547972 0.00467382 
1.07567 0.00586621 0.00856655 0.0128296 0.0187637 0.0247269 0.0248238 0.0212748 0.0170807 0.0138685 0.0116931 0.00239537 0.00346028 0.00513507 0.00746199 0.00980395 0.0098538 0.00848605 0.00686756 0.00563268 0.00480275 
1.10069 0.00569083 0.00831944 0.0124767 0.0182761 0.0241106 0.0241939 0.0207048 0.016598 0.0134603 0.0113382 0.00234847 0.00339731 0.00505003 0.00735146 0.00967019 0.0097145 0.00835258 0.00674765 0.0055259 0.00470567 
1.1257 0.00571894 0.00836606 0.0125595 0.0184218 0.0243265 0.0244003 0.0208548 0.0166982 0.0135304 0.0113914 0.00235027 0.00340245 0.00506322 0.00738076 0.00971842 0.00975878 0.00837967 0.00676101 0.00553185 0.00470792 
1.15072 0.00571925 0.00837243 0.0125825 0.0184805 0.0244282 0.0244919 0.0209059 0.0167184 0.013535 0.011389 0.00235611 0.00341234 0.00508209 0.00741701 0.00977506 0.00981178 0.00841533 0.00678284 0.00554642 0.00471909 
1.17573 0.00564155 0.00826701 0.0124404 0.0183 0.0242158 0.0242678 0.0206848 0.0165174 0.013357 0.0112293 0.002241 0.00325054 0.0048496 0.00709078 0.00935659 0.00938688 0.00803744 0.00646636 0.00527907 0.00448538 
1.20075 0.00570672 0.00836657 0.0126014 0.0185596 0.0245825 0.0246252 0.0209639 0.0167223 0.0135137 0.0113574 0.00232462 0.00337051 0.00502928 0.00735866 0.00971681 0.00974523 0.00833749 0.00670489 0.00547467 0.00465422 
1.22577 0.00570523 0.00837108 0.0126227 0.0186174 0.0246846 0.0247165 0.0210131 0.0167395 0.0135147 0.0113508 0.0022562 0.00327609 0.00489678 0.00717788 0.00948971 0.00951255 0.00812489 0.00652211 0.00531706 0.00451422 
1.25078 0.00576221 0.00845936 0.0127678 0.0188556 0.0250248 0.0250466 0.021267 0.0169225 0.0136526 0.011462 0.00229303 0.00333162 0.00498468 0.0073163 0.00968225 0.00970143 0.00827565 0.00663535 0.00540517 0.00458689 
1.2758 0.00570446 0.00838196 0.0126664 0.0187334 0.0248893 0.0248995 0.0211125 0.0167764 0.0135209 0.011343 0.00223812 0.00325576 0.00487847 0.00717242 0.00950287 0.009517 0.00810571 0.00648858 0.00527857 0.00447465 
1.30081 0.00573558 0.00843297 0.0127563 0.0188916 0.0251246 0.0251241 0.0212752 0.0168856 0.013598 0.0114023 0.00225841 0.00328542 0.00492544 0.00724859 0.00961185 0.00962259 0.00818716 0.00654879 0.00532621 0.00451559 
1.32583 0.00559515 0.00823484 0.0124731 0.0185011 0.0246328 0.0246205 0.0208181 0.0164984 0.0132709 0.0111183 0.00221018 0.00321884 0.00483245 0.0071233 0.00945651 0.00946246 0.00803869 0.00642007 0.00521503 0.00441701 
