T 18F 19F 20F 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 24000F 25000F 26000F 27000F 
0 0.00230759 0.00329917 0.00476197 0.00663381 0.00754252 0.00824671 0.00843935 0.0084708 0.00851338 0.00857196 0.0086149 0.00860092 0.00772311 0.00648 0.0054127 0.00463071 0.0178368 0.0247275 0.0347747 0.0475641 0.053783 0.0586423 0.0599935 0.0602166 0.0605207 0.0609451 0.0612653 0.0613444 0.0558481 0.0479317 0.0412025 0.0363904 
0.0250156 0.00230504 0.00329799 0.00476521 0.00664621 0.00756028 0.0082684 0.00846182 0.00849335 0.00853603 0.00859465 0.00863748 0.00862095 0.00773268 0.00648057 0.0054084 0.00462422 0.0178018 0.0246994 0.034774 0.0476222 0.0538756 0.0587599 0.0601158 0.0603394 0.0606439 0.0610683 0.0613876 0.0614484 0.0558798 0.0479006 0.0411361 0.0363065 
0.0500313 0.00230249 0.00329678 0.00476842 0.00665864 0.0075781 0.00829018 0.00848438 0.008516 0.00855877 0.00861742 0.00866014 0.00864105 0.00774225 0.00648111 0.00540408 0.00461772 0.0177668 0.0246715 0.0347733 0.0476806 0.0539689 0.0588783 0.0602389 0.060463 0.060768 0.0611924 0.0615107 0.0615531 0.0559117 0.0478696 0.0410699 0.0362228 
0.0750469 0.00229993 0.00329557 0.00477162 0.00667108 0.00759598 0.00831204 0.00850703 0.00853874 0.0085816 0.00864029 0.00868289 0.00866121 0.0077518 0.00648162 0.00539973 0.00461121 0.0177319 0.0246435 0.0347726 0.0477393 0.0540626 0.0589974 0.0603628 0.0605874 0.0608929 0.0613173 0.0616346 0.0616584 0.0559438 0.0478387 0.0410038 0.0361394 
0.100063 0.00229736 0.00329433 0.0047748 0.00668354 0.00761391 0.00833398 0.00852977 0.00856157 0.00860452 0.00866324 0.00870573 0.00868142 0.00776135 0.00648209 0.00539537 0.0046047 0.0176972 0.0246156 0.034772 0.0477983 0.054157 0.0591173 0.0604876 0.0607126 0.0610186 0.061443 0.0617592 0.0617644 0.055976 0.0478078 0.0409378 0.0360563 
0.125078 0.00229478 0.00329308 0.00477796 0.00669601 0.00763189 0.00835601 0.0085526 0.00858449 0.00862753 0.00868629 0.00872866 0.0087017 0.00777088 0.00648253 0.00539098 0.00459818 0.0176625 0.0245878 0.0347715 0.0478577 0.0542519 0.059238 0.0606131 0.0608387 0.0611451 0.0615695 0.0618847 0.061871 0.0560084 0.0477769 0.040872 0.0359734 
0.150094 0.0022922 0.00329182 0.0047811 0.00670851 0.00764993 0.00837813 0.00857552 0.0086075 0.00865064 0.00870943 0.00875168 0.00872204 0.0077804 0.00648294 0.00538656 0.00459166 0.0176279 0.02456 0.034771 0.0479173 0.0543474 0.0593595 0.0607395 0.0609656 0.0612725 0.0616968 0.062011 0.0619782 0.056041 0.0477461 0.0408063 0.0358908 
0.175109 0.00228961 0.00329053 0.00478422 0.00672103 0.00766803 0.00840033 0.00859853 0.00863061 0.00867383 0.00873265 0.00877479 0.00874244 0.00778991 0.00648331 0.00538213 0.00458512 0.0175934 0.0245322 0.0347705 0.0479773 0.0544434 0.0594818 0.0608666 0.0610933 0.0614007 0.0618249 0.0621381 0.062086 0.0560737 0.0477153 0.0407407 0.0358084 
0.200125 0.00228702 0.00328923 0.00478733 0.00673356 0.00768618 0.00842262 0.00862163 0.0086538 0.00869712 0.00875597 0.00879798 0.0087629 0.00779941 0.00648366 0.00537767 0.00457858 0.017559 0.0245044 0.03477 0.0480375 0.05454 0.0596048 0.0609946 0.0612218 0.0615296 0.0619539 0.062266 0.0621945 0.0561066 0.0476846 0.0406753 0.0357263 
0.225141 0.00228442 0.00328792 0.00479041 0.00674612 0.00770439 0.00844499 0.00864482 0.00867709 0.0087205 0.00877938 0.00882127 0.00878343 0.0078089 0.00648396 0.00537319 0.00457203 0.0175246 0.0244767 0.0347696 0.0480981 0.0546371 0.0597286 0.0611234 0.0613511 0.0616594 0.0620836 0.0623947 0.0623036 0.0561396 0.0476539 0.04061 0.0356444 
0.250156 0.00228181 0.00328658 0.00479347 0.00675869 0.00772265 0.00846746 0.00866811 0.00870047 0.00874397 0.00880289 0.00884464 0.00880401 0.00781837 0.00648424 0.00536869 0.00456548 0.0174904 0.0244491 0.0347692 0.048159 0.0547348 0.0598531 0.061253 0.0614812 0.06179 0.0622142 0.0625242 0.0624133 0.0561728 0.0476232 0.0405448 0.0355628 
0.275172 0.00227919 0.00328524 0.00479652 0.00677127 0.00774097 0.00849 0.00869149 0.00872394 0.00876754 0.00882648 0.00886811 0.00882466 0.00782783 0.00648448 0.00536417 0.00455892 0.0174562 0.0244214 0.0347689 0.0482201 0.0548331 0.0599785 0.0613834 0.0616121 0.0619215 0.0623456 0.0626545 0.0625236 0.0562062 0.0475925 0.0404798 0.0354814 
