T 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 
0 0.0169159 0.0192037 0.0209805 0.0214688 0.0215487 0.0216572 0.021807 0.0219177 0.0218998 0.017149 0.0194676 0.0212684 0.0217633 0.0218444 0.0219543 0.0221062 0.0222185 0.0222008 
0.0250156 0.0169445 0.0192455 0.021032 0.0215222 0.0216024 0.021711 0.0218609 0.0219713 0.021947 0.0171806 0.0195131 0.0213241 0.021821 0.0219022 0.0220124 0.0221644 0.0222764 0.0222521 
0.0500313 0.0169731 0.0192875 0.0210838 0.0215759 0.0216563 0.0217652 0.0219151 0.0220252 0.0219943 0.0172124 0.0195588 0.02138 0.0218789 0.0219604 0.0220708 0.0222229 0.0223346 0.0223037 
0.0750469 0.0170018 0.0193297 0.0211358 0.0216298 0.0217104 0.0218195 0.0219695 0.0220793 0.0220418 0.0172443 0.0196047 0.0214362 0.0219372 0.0220189 0.0221296 0.0222817 0.0223931 0.0223555 
0.100063 0.0170306 0.019372 0.0211881 0.021684 0.0217648 0.0218741 0.0220242 0.0221337 0.0220895 0.0172764 0.0196509 0.0214927 0.0219957 0.0220777 0.0221886 0.0223408 0.0224519 0.0224075 
0.125078 0.0170594 0.0194145 0.0212406 0.0217384 0.0218194 0.021929 0.0220791 0.0221883 0.0221374 0.0173085 0.0196973 0.0215495 0.0220546 0.0221368 0.0222479 0.0224003 0.0225111 0.0224598 
0.150094 0.0170883 0.0194572 0.0212933 0.0217931 0.0218743 0.0219841 0.0221343 0.0222432 0.0221854 0.0173407 0.0197438 0.0216066 0.0221138 0.0221962 0.0223076 0.02246 0.0225705 0.0225123 
0.175109 0.0171173 0.0195 0.0213462 0.021848 0.0219295 0.0220395 0.0221897 0.0222982 0.0222336 0.0173731 0.0197906 0.0216641 0.0221733 0.022256 0.0223676 0.0225201 0.0226303 0.0225651 
0.200125 0.0171463 0.0195429 0.0213994 0.0219032 0.0219849 0.0220951 0.0222454 0.0223536 0.022282 0.0174055 0.0198377 0.0217218 0.0222331 0.022316 0.0224279 0.0225805 0.0226903 0.0226181 
0.225141 0.0171754 0.019586 0.0214528 0.0219586 0.0220405 0.0221509 0.0223013 0.0224092 0.0223306 0.0174381 0.0198849 0.0217798 0.0222932 0.0223764 0.0224885 0.0226411 0.0227507 0.0226713 
0.250156 0.0172045 0.0196293 0.0215065 0.0220143 0.0220964 0.0222071 0.0223575 0.022465 0.0223793 0.0174708 0.0199323 0.0218381 0.0223537 0.0224371 0.0225494 0.0227022 0.0228114 0.0227248 
0.275172 0.0172337 0.0196727 0.0215604 0.0220702 0.0221526 0.0222634 0.0224139 0.022521 0.0224282 0.0175036 0.01998 0.0218967 0.0224145 0.0224981 0.0226107 0.0227635 0.0228724 0.0227785 
0.300188 0.017263 0.0197163 0.0216145 0.0221264 0.022209 0.02232 0.0224705 0.0225774 0.0224773 0.0175365 0.0200279 0.0219556 0.0224756 0.0225594 0.0226723 0.0228252 0.0229337 0.0228325 
0.325203 0.0172924 0.01976 0.0216689 0.0221828 0.0222656 0.0223769 0.0225274 0.0226339 0.0225265 0.0175695 0.0200759 0.0220149 0.022537 0.0226211 0.0227342 0.0228871 0.0229953 0.0228867 
0.350219 0.0173217 0.0198039 0.0217235 0.0222395 0.0223225 0.022434 0.0225846 0.0226907 0.0225759 0.0176026 0.0201243 0.0220744 0.0225987 0.0226831 0.0227964 0.0229494 0.0230573 0.0229411 
0.375235 0.0173512 0.019848 0.0217783 0.0222964 0.0223797 0.0224914 0.022642 0.0227477 0.0226255 0.0176358 0.0201728 0.0221343 0.0226608 0.0227454 0.022859 0.0230121 0.0231196 0.0229958 
0.40025 0.0173807 0.0198922 0.0218334 0.0223536 0.0224371 0.022549 0.0226997 0.022805 0.0226753 0.0176691 0.0202215 0.0221944 0.0227232 0.0228081 0.0229219 0.023075 0.0231822 0.0230507 
0.425266 0.0174103 0.0199365 0.0218887 0.022411 0.0224947 0.0226069 0.0227576 0.0228626 0.0227252 0.0177026 0.0202705 0.0222549 0.0227859 0.022871 0.0229851 0.0231383 0.0232451 0.0231059 
0.450281 0.0174399 0.0199811 0.0219442 0.0224687 0.0225526 0.022665 0.0228158 0.0229204 0.0227753 0.0177361 0.0203197 0.0223157 0.022849 0.0229343 0.0230487 0.023202 0.0233084 0.0231613 
0.475297 0.0174695 0.0200257 0.022 0.0225266 0.0226108 0.0227234 0.0228742 0.0229784 0.0228256 0.0177698 0.0203691 0.0223768 0.0229124 0.022998 0.0231126 0.0232659 0.0233719 0.023217 
