T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
0 0.00601245 0.00851922 0.0122055 0.0169159 0.0218998 0.0197406 0.0166697 0.0140398 0.0121246 0.00687543 0.00972344 0.0139086 0.0192549 0.0249199 0.0224817 0.0190106 0.0160397 0.0138792 
0.0250156 0.00600429 0.00851426 0.0122114 0.0169445 0.021947 0.0197614 0.0166677 0.0140253 0.0121043 0.00687614 0.00973183 0.0139353 0.0193148 0.0250091 0.0225375 0.0190356 0.0160464 0.0138764 
0.0500313 0.00599613 0.00850927 0.0122172 0.0169731 0.0219943 0.0197821 0.0166656 0.0140108 0.0120841 0.00687694 0.00974034 0.0139621 0.0193752 0.0250989 0.0225937 0.0190609 0.0160534 0.0138738 
0.0750469 0.00598796 0.00850426 0.0122231 0.0170018 0.0220418 0.0198029 0.0166634 0.0139962 0.0120639 0.00687783 0.00974897 0.0139892 0.0194362 0.0251896 0.0226503 0.0190865 0.0160605 0.0138714 
0.100063 0.00597979 0.00849922 0.0122288 0.0170306 0.0220895 0.0198236 0.0166612 0.0139816 0.0120436 0.00687881 0.00975773 0.0140165 0.0194976 0.0252811 0.0227074 0.0191123 0.0160679 0.0138691 
0.125078 0.00597161 0.00849416 0.0122346 0.0170594 0.0221374 0.0198444 0.016659 0.013967 0.0120234 0.00687987 0.00976661 0.014044 0.0195596 0.0253733 0.022765 0.0191384 0.0160754 0.0138671 
0.150094 0.00596344 0.00848907 0.0122403 0.0170883 0.0221854 0.0198651 0.0166567 0.0139524 0.0120032 0.00688103 0.00977562 0.0140717 0.0196221 0.0254664 0.022823 0.0191647 0.0160832 0.0138652 
0.175109 0.00595525 0.00848395 0.012246 0.0171173 0.0222336 0.0198858 0.0166543 0.0139377 0.011983 0.00688228 0.00978476 0.0140997 0.0196851 0.0255603 0.0228815 0.0191913 0.0160911 0.0138636 
0.200125 0.00594706 0.00847881 0.0122517 0.0171463 0.022282 0.0199066 0.0166519 0.0139231 0.0119629 0.00688362 0.00979403 0.014128 0.0197486 0.025655 0.0229405 0.0192182 0.0160993 0.0138621 
0.225141 0.00593887 0.00847364 0.0122573 0.0171754 0.0223306 0.0199273 0.0166494 0.0139083 0.0119427 0.00688506 0.00980343 0.0141565 0.0198127 0.0257506 0.023 0.0192454 0.0161077 0.0138609 
0.250156 0.00593068 0.00846845 0.0122629 0.0172045 0.0223793 0.019948 0.0166469 0.0138936 0.0119226 0.00688659 0.00981297 0.0141852 0.0198773 0.025847 0.02306 0.0192729 0.0161163 0.0138598 
0.275172 0.00592248 0.00846322 0.0122685 0.0172337 0.0224282 0.0199687 0.0166443 0.0138788 0.0119024 0.00688822 0.00982264 0.0142142 0.0199425 0.0259443 0.0231204 0.0193006 0.0161251 0.013859 
0.300188 0.00591427 0.00845797 0.012274 0.017263 0.0224773 0.0199894 0.0166416 0.013864 0.0118823 0.00688994 0.00983245 0.0142434 0.0200082 0.0260424 0.0231814 0.0193286 0.0161342 0.0138584 
0.325203 0.00590607 0.00845269 0.0122795 0.0172924 0.0225265 0.02001 0.0166389 0.0138492 0.0118622 0.00689176 0.00984239 0.0142729 0.0200745 0.0261414 0.0232428 0.0193569 0.0161434 0.0138579 
0.350219 0.00589785 0.00844739 0.0122849 0.0173217 0.0225759 0.0200307 0.0166361 0.0138343 0.0118421 0.00689368 0.00985247 0.0143026 0.0201413 0.0262413 0.0233048 0.0193856 0.0161529 0.0138577 
0.375235 0.00588963 0.00844205 0.0122904 0.0173512 0.0226255 0.0200513 0.0166333 0.0138195 0.011822 0.0068957 0.0098627 0.0143326 0.0202087 0.0263421 0.0233673 0.0194145 0.0161626 0.0138577 
0.40025 0.00588141 0.00843669 0.0122957 0.0173807 0.0226753 0.020072 0.0166304 0.0138045 0.0118019 0.00689783 0.00987306 0.0143628 0.0202767 0.0264438 0.0234303 0.0194437 0.0161726 0.0138579 
0.425266 0.00587319 0.0084313 0.0123011 0.0174103 0.0227252 0.0200926 0.0166274 0.0137896 0.0117818 0.00690005 0.00988357 0.0143933 0.0203452 0.0265464 0.0234938 0.0194732 0.0161828 0.0138583 
0.450281 0.00586496 0.00842588 0.0123064 0.0174399 0.0227753 0.0201132 0.0166244 0.0137746 0.0117617 0.00690237 0.00989423 0.0144241 0.0204144 0.0266499 0.0235579 0.019503 0.0161932 0.0138589 
0.475297 0.00585672 0.00842043 0.0123117 0.0174695 0.0228256 0.0201337 0.0166213 0.0137596 0.0117417 0.0069048 0.00990503 0.0144552 0.0204841 0.0267544 0.0236225 0.0195331 0.0162039 0.0138598 
0.500313 0.00584848 0.00841496 0.0123169 0.0174993 0.022876 0.0201543 0.0166181 0.0137446 0.0117216 0.00690734 0.00991598 0.0144865 0.0205545 0.0268598 0.0236876 0.0195636 0.0162148 0.0138608 
0.525328 0.00584024 0.00840945 0.0123221 0.0175291 0.0229266 0.0201748 0.0166149 0.0137295 0.0117016 0.00690998 0.00992708 0.0145181 0.0206255 0.0269662 0.0237533 0.0195944 0.0162259 0.0138621 
0.550344 0.00583199 0.00840392 0.0123273 0.0175589 0.0229774 0.0201953 0.0166116 0.0137144 0.0116816 0.00691273 0.00993834 0.01455 0.020697 0.0270735 0.0238196 0.0196255 0.0162373 0.0138636 
0.57536 0.00582373 0.00839836 0.0123324 0.0175888 0.0230284 0.0202158 0.0166083 0.0136993 0.0116616 0.00691558 0.00994975 0.0145821 0.0207692 0.0271819 0.0238864 0.0196569 0.0162489 0.0138654 
0.600375 0.00581547 0.00839276 0.0123374 0.0176187 0.0230795 0.0202363 0.0166049 0.0136842 0.0116416 0.00691855 0.00996131 0.0146146 0.0208421 0.0272912 0.0239537 0.0196886 0.0162608 0.0138674 
0.625391 0.00580721 0.00838714 0.0123425 0.0176487 0.0231308 0.0202567 0.0166014 0.013669 0.0116216 0.00692162 0.00997304 0.0146473 0.0209155 0.0274015 0.0240217 0.0197207 0.016273 0.0138696 
0.650407 0.00579894 0.00838149 0.0123474 0.0176787 0.0231822 0.0202771 0.0165978 0.0136538 0.0116016 0.00692481 0.00998492 0.0146803 0.0209896 0.0275128 0.0240902 0.0197531 0.0162854 0.013872 
0.675422 0.00579067 0.00837581 0.0123524 0.0177088 0.0232338 0.0202975 0.0165942 0.0136385 0.0115816 0.00692811 0.00999697 0.0147136 0.0210644 0.0276252 0.0241593 0.0197859 0.016298 0.0138747 
0.700438 0.00578239 0.0083701 0.0123573 0.017739 0.0232856 0.0203178 0.0165905 0.0136233 0.0115617 0.00693152 0.0100092 0.0147472 0.0211398 0.0277386 0.024229 0.019819 0.0163109 0.0138776 
0.725453 0.00577411 0.00836436 0.0123621 0.0177692 0.0233376 0.0203382 0.0165868 0.013608 0.0115417 0.00693505 0.0100215 0.0147812 0.0212159 0.027853 0.0242993 0.0198524 0.0163241 0.0138807 
0.750469 0.00576582 0.00835858 0.012367 0.0177994 0.0233897 0.0203584 0.0165829 0.0135926 0.0115218 0.00693869 0.0100341 0.0148154 0.0212926 0.0279685 0.0243702 0.0198862 0.0163376 0.0138841 
0.775485 0.00575753 0.00835278 0.0123717 0.0178297 0.023442 0.0203787 0.016579 0.0135773 0.0115019 0.00694245 0.0100468 0.0148499 0.02137 0.0280851 0.0244417 0.0199204 0.0163513 0.0138877 
0.8005 0.00574924 0.00834695 0.0123764 0.01786 0.0234944 0.0203989 0.0165751 0.0135619 0.0114819 0.00694633 0.0100597 0.0148847 0.0214482 0.0282028 0.0245139 0.0199549 0.0163653 0.0138916 
0.825516 0.00574094 0.00834109 0.0123811 0.0178903 0.023547 0.0204191 0.016571 0.0135465 0.011462 0.00695033 0.0100727 0.0149199 0.021527 0.0283216 0.0245866 0.0199898 0.0163796 0.0138957 
0.850532 0.00573263 0.00833519 0.0123857 0.0179207 0.0235998 0.0204392 0.0165669 0.013531 0.0114421 0.00695445 0.010086 0.0149554 0.0216065 0.0284414 0.02466 0.0200251 0.0163942 0.0139001 
0.875547 0.00572432 0.00832927 0.0123903 0.0179512 0.0236528 0.0204593 0.0165627 0.0135155 0.0114222 0.0069587 0.0100994 0.0149912 0.0216867 0.0285624 0.024734 0.0200607 0.016409 0.0139047 
0.900563 0.005716 0.00832332 0.0123948 0.0179817 0.0237059 0.0204794 0.0165585 0.0135 0.0114024 0.00696306 0.0101129 0.0150273 0.0217676 0.0286846 0.0248087 0.0200967 0.0164241 0.0139096 
0.925578 0.00570768 0.00831733 0.0123993 0.0180122 0.0237591 0.0204994 0.0165542 0.0134844 0.0113825 0.00696755 0.0101267 0.0150637 0.0218493 0.0288079 0.0248841 0.0201331 0.0164396 0.0139148 
0.950594 0.00569936 0.00831131 0.0124037 0.0180428 0.0238126 0.0205194 0.0165498 0.0134689 0.0113626 0.00697217 0.0101407 0.0151005 0.0219317 0.0289324 0.0249601 0.0201699 0.0164553 0.0139202 
0.97561 0.00569103 0.00830527 0.0124081 0.0180734 0.0238662 0.0205394 0.0165453 0.0134533 0.0113428 0.00697692 0.0101548 0.0151376 0.0220149 0.029058 0.0250367 0.0202071 0.0164713 0.0139258 
1.00063 0.00568269 0.00829919 0.0124125 0.0181041 0.0239199 0.0205593 0.0165408 0.0134376 0.011323 0.00698179 0.0101691 0.0151751 0.0220988 0.0291849 0.0251141 0.0202446 0.0164876 0.0139318 
1.02564 0.00567435 0.00829308 0.0124167 0.0181347 0.0239738 0.0205791 0.0165362 0.013422 0.0113031 0.0069868 0.0101836 0.0152129 0.0221834 0.0293129 0.0251921 0.0202826 0.0165042 0.013938 
1.05066 0.00566601 0.00828694 0.012421 0.0181655 0.0240279 0.0205989 0.0165315 0.0134063 0.0112833 0.00699193 0.0101983 0.0152511 0.0222689 0.0294422 0.0252708 0.020321 0.0165211 0.0139445 
1.07567 0.00565766 0.00828077 0.0124251 0.0181962 0.0240822 0.0206187 0.0165267 0.0133905 0.0112635 0.0069972 0.0102132 0.0152896 0.0223551 0.0295727 0.0253502 0.0203598 0.0165384 0.0139512 
1.10069 0.00564931 0.00827456 0.0124293 0.018227 0.0241366 0.0206384 0.0165219 0.0133748 0.0112437 0.0070026 0.0102283 0.0153284 0.0224421 0.0297045 0.0254303 0.020399 0.0165559 0.0139582 
1.1257 0.00564095 0.00826833 0.0124333 0.0182578 0.0241911 0.0206581 0.016517 0.013359 0.0112239 0.00700814 0.0102436 0.0153677 0.0225299 0.0298375 0.0255112 0.0204386 0.0165738 0.0139655 
